clean_text,sentiment
simple mbg kaya makin kaya rendah makin rendah rata rata fokus pekerja terima cuma keluarga dinasty proyek jugaaa rata rata punya relasi ekonomi maju nol besar gizi semakin baik lebih baik bikin bekal rumah mbg tidak mikir aja buat program berobat gratis pendidikan gratisss kalau mau kasih makan gratiss mah hajar langsung jalanan orang orang bener bener butuh,positive
stop bayar pajak intinya kalau tidak loker,neutral
presiden siapa lgi ditanya,neutral
mbg aku keren ko,positive
mbg du evaluasi terus saling joreksi,neutral
presiden,neutral
siapa dirugikan,neutral
mbg menguntungkan koroptor,neutral
mbg program koruptor,neutral
untung pekerja didapur yayasan koperasi supliyer semua terlibat mbg lumbung suara maju pemilu datang,neutral
usul aja pak presiden pak prabowo bubarkan aja program mbg banyak masyarakat kecil rugikan kaya makin kaya miskin makin miskintolong kaji ulang,negative
bukan donatur jangan mengatur,neutral
untung ma pekerjanya pedagang kecil rata sepi karna apa dpt mbg anak tidak tertarik kantin kantin berharap anak anak belitolong dong,negative
ekonom bodohyang menyatakan mbg tidak gunanyaini jelas jelas pemerataan ekonomi nkri,positive
pedagang kantin kehilangan mata pencaharian total,negative
mbg satu rangkaian perauk keuntungan dampaknya pedagang kecil dirugikan,negative
terlupakan bahas limbah mengganggu lingkungan,negative
pekerja sppg sewaktuwaktu berhentikan sebabnya disebut relawan klaim jt pekerja tidak benar sama sekalidan kebanyakan relawan diambil saudara sendirikerabat sendiriatau teman dekat saudara dekat kepala sppgjadi relawan sppg tanpa adanya orang sangat mustahil,neutral
ekonomi maju mana hutang negara maju jadi lebih banyak la iya maju bila pemasukan pengeluaran uang la pengeluaran uang terus buat bayar mbg pekerja mbgblm lg korupsi ekonomi maju taekkkkkkk,negative
program sebenarnya program sosial tapi sejak awal tersetting program kue baik parpol timses pencalonan presiden org berkepentingan prabowo prabowo memberikan celah jatah cuan dibungkus mbg program sosial tidak ad hitungan cuan hulu hilir nah iini tidak cm cari cuan normal aja tapi potensi korupsi besar tidak terpantau istilah relawan sebenarnya tidak sistem gaji upah jadi pure kemanusiaan kerja mbg gaji upah terlebih nuntut pembayaran stop mengaku relawan stop mbg terlalu banyak negatif menyerap anggaran dri kepentingan sprti pendidikan kesehatan jg,negative
tahun pemerintahan gagal ehh malah mau ditambah tahun bahkan wacana nambah tahun wassalam dah tinggal nunggu ancur aja nih negara,negative
perogram mbg sangat merusak ekonomi rakyat senang elit elit menjadi bandar dapur mbg,negative
paling untungkan investor pemilik modal,neutral
percuma rakyat koar koar engga pernah dengar,neutral
sekelas bbc pakai kata relawan,neutral
jelas korupsi diuntungkan,negative
terdampak efisiensi anggaran berakhir rumahkan efek mbg,negative
mewakili masyarakat serang banten sangat ber terima kasih bapak presiden mbg,positive
anggaran mbg sy rasa anggaran paling gurih buat korupsi apa lgi berkuasa dri ordebaru mana hidup tanpa pesta anggaran,negative
tumbuh artinya gugur jelas kan,neutral
diuntungkan pemilik proyek mbg,negative
potensi korupsi terbuka lebar,negative
untungkan suksesor memenangkan kekuasaan kontestasi politik kelompok kalah puasa dulu begitulah negara demokrasi,positive
sayur sekarang naik,neutral
mbg buat mempersiapkan modal pilpres memdatang,negative
mbg sarang korupsi,negative
untung oknum,neutral
tumbuh duitnya pemenang proyek,neutral
cheer up gyus,neutral
fakta nyata sangat bbc news indonesia pedagang pasar sangat merasakan sangat pengaruhnya mbg,negative
mbg dihentikan anak tidak ijinkan anak menerima mbg mbg merusak moralitas bangsa cara kebodohan pemerintah membangun sda sdm suatu bangsa hasil pilihan masyarakat bodoh hasilnya menciptakan pemerintahan bodoh tak bertanggung jawab atas keselamatan nyawa anak indonesia faktanya tahukah kamu termasuk membuat bekerja didalam mbg merusak moralitas bangsa contoh kecil makanan bermasalah nyawa anak bangsa melayang kamu pantas mengatakan pekerjaan basis foto agamis islam mu bukannya kamu malu pepatah hidup miskin bodoh jangan faham belum isi mbg dibelakang layar tidak ketahui seorang teknologi hasil pertanian mendalami dibidang pangan saintek jurusan ti tekhnik industri bukan sekedar ujaran kebencian,negative
akibatnya presiden tak pernah berikan suku program presiden tak berkualitas terimakasih,negative
mbg maling berjamaah guys,negative
kan kuberi pemimpin sesuai kaumnya,neutral
makanan basi pulang sekolah mencret,negative
sekolah mahal jajan anak rb keatas mbg aneh,negative
kalau temuan dugaan koneksi masalah relawan silakan diusut transparan tapi jangan digiring jadi narasi seolaholah semuanya salah atas presiden prabowo subianto punya visi besar soal gizi masa depan generasi dukung tetap kritis bukan menjatuhkan,positive
soal umkm belum maksimal terlibat jadi pr bersama cuma kritik lebih baik dorong depan makin banyak pelaku usaha lokal masuk rantai pasok program mbg niatnya jelas rakyat tinggal pengawasannya kawal barengbareng,positive
namanya program besar baru jalan setahun evaluasi sanasini tapi jangan tutup mata kalau manfaatnya dirasakan banyak anak pemerintahan prabowo subianto terus benahi kekurangan penting jangan langsung divonis gagal,positive
tmpat cair mbg rentenir punya banyak uang wkwk beli mobil mewah cepat haha makanannya parah dikasih anak sayurnya daun singkong tua hahaha,negative
diuntunjan kroni kroni,neutral
tanyakan rumput tetangga sebelah,neutral
pedagang kaki lima menurun omsetnya karna dampak kenaikan harga kebutuhan pokok akibat adanya mbg,negative
mirisnya indonesiaku,neutral
merusak pasar harga jadi mahal,negative
mbg tak meningkatkan konsumsi bahan makanan tanpa mbgpun anak indonesia tetap makan mbg memindahkan rejeki banyak orang spt penjual cilok cimol cireng semcamnya pengelola kantin sekolah jumlahnya banyak sekali berpindah pengelola dapur sppg karyawannya jumlahnya jauh lebih sedikit mbg menciptakan sedikit lowongan kerja menimbulkan banyak pengangguran baru selama dicekoki logika sesat prabowo,negative
keterlibatan umkm kecil bukan berarti gagal menjadi peluang memperluas partisipasi pelaku usaha mikro tahap berikutnya melalui pembinaan kemitraan,positive
kenaikan permintaan bahan pokok mbg dilihat tanda meningkatnya perputaran ekonomi peluang petani produsen lokal,neutral
program sebesar mbg menjangkau jutaan penerima membutuhkan proses adaptasi penting manfaat utamanya pemenuhan gizi masyarakat tetap berjalan terus diperbaiki,positive
untungkan orang tertentu terutama punya modal membuka mbg,neutral
mengkritik program berskala nasional baru berjalan satu tahun berdasarkan kendala logistik beberapa titik pandangan kurang proporsional tidak program sebesar dunia langsung sempurna tahun pertama pemerintah sedang melakukan finetuning sistem distribusi masalah rasa kesegaran sayur tantangan operasional lapangan terus dievaluasi melalui standar dapur satuan pelayanan jauh lebih penting keberanian politik memulai pemenuhan gizi anak bangsa masif memutus rantai stunting puluhan tahun menghantui indonesia,neutral
namanya program raksasa baru jalan setahun masa adaptasi masalah sayur kurang seger porsi dikit kendala teknis lapangan terus diperbaiki lewat evaluasi tiap hari fokus utamanya kan ngebentuk kebiasaan makan bergizi buat anakanak selama mungkin cuma jajan sembarangan progress over perfection,positive
ancoor mbg bubarkan orang semuanyajadi kacausemuanya,neutral
untungkan klompok,neutral
mau dibawa indonesia besar pemerintah sekarang,neutral
nnah lu ibu ibu rumah tangga menjerit pangan naik ancorree,neutral
pakai nanya siapa diuntungkan jelas kroni gemoy fufufafa,neutral
mbg manfaat lebih banyak mudarat,negative
dampak nyata sembako jadi naikttp untung pemain mbg,neutral
program apa inijuru masaknya ambil bagian anggaran,neutral
stop mbg,neutral
aku wong ndeso program mbg pembodohan garong berkedok gizi coba dana jk otakatik bila buat pabri brp ribu pabrik berapa puluh juta menyerap brp tenaga kerja presiden kurang jeli dlm mengambil keputusanprogram terkesan grusagrusuh,negative
rakyat awam tahu semuanya tidak mungkin presiden tidak tahu apa selanjutnya gini gini terus rakyat tetap jadi korban,neutral
untungkan org dekat pemerintahan kalau mbg dikelola sekolah masing insyaallah semua wilayah merata terdampak merasakan manfaatnya semua pasar bergerak,neutral
mbg ganti uang tunai sj,neutral
untungkan pejabat bersangkutan dn pengelola mbg,neutral
satu tahun berjalan satu tahun banyak baru beberapa bulanbahkan daerah jakarta belum berarti tidak digeneralisasi berjalan satu tahun,neutral
diuntungkan pemilik mbg,neutral
buat pengkritik program pemerintahan prabowo sebaiknya berlaku sama prabowo jgn melihat realita kehidupan masyarakat dekat tapi lihat atas pesawat terbang indonesia terlihat baik baik rakyat bahagia,positive
untung bejabat punya duit spa bilang gratis bajak dr rakyat ko,neutral
kader partai busuk jelas diuntungkan,neutral
untung pelaksana ngoroti dana,neutral
untungkan punya proyek pr koruptor nan klu nyawa mlyg,neutral
mbg lanjutkan sangat bermanfaat kitekite bekerja tidak nganggur terus,neutral
pejabat penuh cemburu dana mbg lari rakyat,neutral
halloooo mbg hallooo pak wowo menteri jajarannya lebih penting urgen manamemaksakan program egois mbgmakan bergizikadang beracun gratis namun anggarannya jumboyang riskan sekali sengaja dikorupsidibuat bancakan kawan pak wowo dibandingkan pembangunan infrastruktur perbatsanyg notabene menjadi wajah indonesiapenyediaan lapangan kerjayang membiayai anak sekolah pendidikan murahbahkan kalau gratis syarat penerima kip sekarang penghasilan ortu dibawah umpumk artinya sekarang dipersulit sangat sulit sekalimungkin anggarannya tersedot mbg,negative
diuntungkan koruptor kroni kroninya prabowo rakyat dirugikan,neutral
lebih baik dihapus mbg kasi uangnya aja makanan kadang basi untung atasan mengola kadang dibuat bisnis,positive
untung koroptorygpunya kepentingan,neutral
tau sama tau aja,neutral
taukah siapa pemilik dapur mbgkalangan orang dewan banyak memiliki dapur mbg,neutral
rakyat makin susah korupsi kolusi nepotisme sangat terang terangan rezim saatnya revolusi,negative
klw semua sekolah menolak semua tutup dg sendirinya,neutral
untung korupsi rakyat mh tidak dapet untung,negative
pak prabowo msh tidak ngerti kl mbg sarat dikorupsimending pendidikan gratis kesehatan gratis pak lebih manfaat,negative
setuju tidak sifatnya relatif diuntungkan dirugikan sebagian perputaran uangnya pindah kelompok satu kelompok kantin sekolah dapur mbg anak bawa uang jajan tidak orang tua merasa tenang tau anaknya makan siang biasa aja penerimanya anak orang tua mampu anak orang tua tidak mampu labil kadang mampu kadang tidak masyarakat setuju tidak setuju dilatari sikap politik tidak sama sekali relatif absolut berantas korupsi,neutral
semakin bobrok negeri istana hnya menima laporan kalau masalah laporn anak kecil tau semua laporkan misti baik walaupun faktanya busuk,positive
segi politik diuntungkan jokowi and gibran makanya gibran lebih memilih mengekor tidak ikut cawe cawe progam mbg pridiksi maju kena mundur kena,neutral
semakin parah,negative
berlindung dibelakang kata rakyat sekian banyak dapur hitung berapa persentase dimiliki orang parpol pemenang pemilu sekedar duit tim sukses,positive
parah,negative
kasihan urat malu prabowo putus tinggal urat malu kemaluan urat kemaluan prabowo putus tinggal masuk liang lalu bawa semua proyeknya tinggalkan rakyat menderita,neutral
paling untungkan mbg prabowo menkeu,neutral
hentikan mbg,neutral
diuntungkan orang kaya punya dapur mbg,neutral
diuntungkan orang tertentu kaya,neutral
patronase,neutral
tukang jual nasi bu pak,neutral
mendiskusikan mandiri tidak masyarakat terdampak tidak sah mbak sama halnya kalian membunuh rakyat kecil pelan pelan turun lapangan sini,neutral
gua si tidak setuju mbg lebih setuju sistem kupon lebih bagus kalau sistem kupon ibu anak membelanjakan anak kalau orang tua mebelanjakan memilih produk terbaik gizi anak tanpa problem keracunan tidak tu namanya proyek,positive
gede bohongnya,negative
boycott mbg boycott korea selatan,neutral
pencuri berseragam,neutral
hati kalau semua rakyat pemerintah meng,neutral
program mbg salah satu program politik,neutral
mbg bikin harga bahan dapur melejit penjualan semakin sulit harusnya mbg diuangkan meminimalkan korupsi menghidupkan warung kecil,negative
untung vendorsatu porsi rbisinya tau sendiri,neutral
sebentar jadi srilanka berikutnya jadi negara gagal hutang ln membengkak menghamburkan anggaran program populis tujuannya ganda memperkaya rent seeker kroni mobilisasi suara electionsmudahan rajapaksa yunior tidak kabur,negative
pmerintah pinter nyari program mnambah celah koprasi mnding pndidikan ksehatan gratisn aja tidak prlu dinas sosial bpjs lumayan irit gaji pjabat asal ktp indo free ksehtan pndidin,neutral
siapa punya ide mbg,neutral
ayo pak prabowojanjinya mana katanya mau mensejaterakan rakyatttt,neutral
apalgi sekarang tni polri kan sppg sangat ngaco goblokx,neutral
lengserkan wowo gibran dah jelas bloon tolol,neutral
lengserkan wowo gibran krna jelas program nasional serampangan,neutral
pembuatan dapur mbg sangat besar biayanya terus mana mendapatkan keuntungan pemotongan anggaran mbg tsb,neutral
mbg jadi bancakan kroni wowo pemodal besar mendapatkan untung besar,neutral
untungkan mbg pemodal besar kroni wowo,neutral
diuntungkan mitra miliyar lebih pertahun broh belum mainmainannya tapi kan bertanggung jawab dg an porsi hari bertanggung jawab bkn punya tapi bekerja situ tapi kan adanya sppg buka lapangan kerja besar iya gw tahu tapi sistemnya memilih pilihan mengorbankan cm dikasih lowongan kerja dg gaji kira umr aja goblok jadi buta sama fakta mbg bkn mengorbankan penghasilan pedagang kecil peserta bpjs guru honorer tapi merusak sistem awalnya semrawut jadi tambah ndk karuan tunggu ketimpangan sosial puncaknya negara mempercepat chaos menundanya justru sesegera mungkin introspeksi diri,neutral
kalau tidak sabotase proyek proyeksikan kwalitas generasi muda lebih baik mbg sebenarnya strategi mendapatkan sumber daya manusia kualify bila tercapai wajib militer diaplikasikan paling tidak total penduduk indonesia menjadi cadangan nasionaltapi tergantung badan gizi nasional mengamankan sistem makan bergizi gratis terutama sppgnya unit dapur lapangannya satuan pelayanan pemenuhan gizi unit lapangan ketat profesional menjalankan protap paham membangun sistem menjaganya bukan mudah makan bergizi gratis penting buat membudayakan mendidik mendisiplinkan anak indonesia makan makanan bergizi bukan junk food frenchising dipaham banyak clandestine contra inteligent indonesia mengupayakan tidak berjalan indonesia,positive
belum dikorupsi pembelian sayur kebutuhan pokok ambil keuntungan masing item dikasih dimasak sayur tidak fresh,negative
mbg tempat kue,neutral
kalau soal kamu jadi umpan provokator si iri tidak dpt proyek musuh politik prabowo terutama pdip gencar menyebar fitnah alatnya medsos konten kreator kecipratan cuan to to ngaku aja modal bacot dpt cuan cari kerja susah lebih baik bikin konten fitnah apa sajalah penting cuan masuk,positive
untung pejabat elite parpol institusi timses relawan kroni kemaren dukung presiden gubernur bupati kalau orang diluar pusaran diatas jangan harap berlebih mau ikut kerja susah,neutral
menghidupi bagian dr partai kedepan dukung prabowo biar mbg bikin sengsara murid sekolhguru tetap wo wo gk peduli mau dihujat muka tembok baiknya pemilu tidak usah milih dpr gk da fungsinya,positive
diuntungkan koruptor baru relawannya hentikan,neutral
diuntung pejabat daerah dprd sekda polisi punya mbg lebih wkwkwk,neutral
untung kroni kroni nyadan partai pendukungnyadi gunting gaji pegawai mbg kampung,neutral
diuntungkan beri makan satu lainnya banyak to orang proyek ha ha ha,neutral
kalau uang mbg dibagi rata semua penduduk indonesia masing setahun kalau dikasih orang miskin kali lipatnya,neutral
belum dpt,neutral
negara posisi parah ujungnya rakyat mendrita,negative
setuju kalau terus dievaluasi tapi sayang sangat kalau diberhentiin,positive
tapi mbg bikin semangat,neutral
anak kenyang belajar fokus kualitas meningkat simpel tapi efeknya besar,neutral
pemerintah hadir rakyat semoga bangsa aman damai sejahtera tidak memprovokasi,neutral
bijak memposting konten media sosial unggahan berdampak opini publik memengaruhi stabilitas sosial,neutral
anak kenyang belajar fokus kualitas meningkat simpel tapi efeknya besar bukan cuma program tapi fondasi buat indonesia lebih kuat depan,neutral
pendsost priyek mbg hsnya menguntungksn orabf orabg twrdejat darubpengyasa,neutral
stoooooop mbg stopppppp,neutral
orang tua aku apresiasi sangat komitmen pemerintah soal kesehatan anakanak,neutral
serius ketahanan pangan lokal teruji lewat program mbg,neutral
mbg kayak nafas baru buat umkm banyak temen gue kerjanya survive supply makanan sekolah,neutral
penjual sayur lokal semenjak dipake mbg permintaan naik dapur tidak pernah sepi pesanan,neutral
kebijakan mbg memang butuh perbaikan tapi lapangan merasakannya jangan langsung disudahi,positive
mbg sekolahku beneran ngasih perubahan besar terima kasih buat semua make this happen,neutral
birokrasi komplek,neutral
usahaku jual makanan ringan skrg makin laris anak sekolah tidak jajan sembarangan makasih mbg,neutral
walaupun program belum sempurna tapi manfaatnya beneran nyata sistem dievaluasi tapi jangan dimatikan,neutral
gue denger beberapa masalah soal mbg tapi tidak nutup kemungkinan manfaat nyata dirasain banyak warga,neutral
tanpa mbg keluarga susah sangat urus makanan anak sekolah skrg jadi lega tiap hari,neutral
kegiatan dapur sekolah makin rame banyak ibu tetangga ikut bantu jadi punya penghasilan tambahan,positive
peluang kerja baru buat warga datang mbg semoga tetap jalan terus,neutral
mbg bukti negara hadir buat susah makan rumah,neutral
sebenernya mbg keadilan akses gizi buat semua anak kawal biar tetap bermanfaat,neutral
semoga depan mbg berkembang sistemnya makin rapih manfaatnya makin luas,neutral
guru aku ngerasain sangat perubahan anak kelas tidak sering ngantuk mbg,neutral
umkm lokal makin hidup sekarang tiap minggu pesanan rutin bahan dapur mbg,neutral
tidak semua kritik jelek asal pengawasan samasama mbg terus diperbaiki,neutral
thank you buat siapa aja mau terlibat bantu mbg biar tetep jalan,positive
tidak bnyak program pemerintah sedeket sama rakyat mbg salah satu sukses,positive
mbg jadi ruang keluarga ekonomi bawah dapet asupan gizi cukup,neutral
program makan gratis bukan sekedar makanan aja dampaknya luas ekonomi rakyat kecil,neutral
mbg layak dipertahankan jangan cepat ditutup gara isu tidak jelas lebih baik perbaiki kekurangannya,positive
seneng liat program macem gini jalan terus kritik tapi anakanak tetep makan enak tiap hari,neutral
anakanak sekolah sini bilang tidak pernah skip makan siang berkat mbg,neutral
nambahin sedikit mbg ngasih rasa aman ortu soal makan sehat sekolah enak sangat,neutral
investigasi penting buat perbaikan tapi jangan atur persepsi publik tanpa liat lapangan,positive
transparensi dikejar programnya jangan dimatikan dulu,neutral
bakal lebih oke kalau pengawasan bareng jadi baik tetep diterusin kurang dikoreksi,positive
mbg tidak bantu anak tapi bangkitin ekonomi ibu kampung gue,positive
percaya relawan tiap pagi liat anakanak nungguin makan sehat suka sangat sama programnya,neutral
naik ekonomi petinggi mbg,neutral
banyak makanan mubadzir anak tidak mau makan dibuang dr menu mbg pakan ayam bukan keseimbangan gizi anak,neutral
pemerintak tidak mendengar youtube inikarena program hem hem hem,neutral
setop mbg pokus sehatan aja buat apa perut kenyang tapi tidak sehat,neutral
gw pengusaha toko plastik melayani pedagang makanan umkm langganan jualan kantin sekolahan mbg semua langganan bangkrut tidak jualan lg kantin sekolahan belum lg langganan biasanya jualan depan pekarangan sekolahan jg mengeluh omset turun drastis penjual sarapan pagi jg mengeluh anak sekolahan tidak beli sarapan pas sekolah langganan jualan pasar basah jg mengeluh sepi omset jg turun drastis sisa bingung kalau semua mengeluh siapa untung adanya mbg,neutral
alhamdulilah uang saku anak utuh,neutral
adanya mbg sy jadi hilang penghasilan sy catering sekolah hampir thn adanya mbg sy tak penghasilan lg sy bingung hrs cari kerja apa lg nyambung hidup umur sy mbg benar meramoas penghasilan hidup sy,neutral
lg balik modal,neutral
tidak benar dankotor semuanya bilang tidak benar korupsi tidak efisien tapi diri sendiri buat cara baru korupsi banyak dikritik teaap mati an dipertahankan,negative
bubarkan mbgprogram sangat absurtdan merusak tatanan kehidupan masyarakt kecil,neutral
semakin subur makmur rakyat indonesia raya hidup jokowiiii,neutral
segera bertaubat wahai kaum buka pikiran hati kalian cukup periode aja,neutral
mbg jalan tempat lom siap uda maksaindasarrrr kerja timses tingkat kelurahanga adil sppg bgn diangkat asn duhhhadehhhwowo wooi,neutral
program mirip covid bentuknya berbeda,neutral
apes jadi wni,neutral
apa bener katanya kaya punya yayasandalam dapur menghasilkan jt perbulanjika yyasan punya dapur pendapatan yayasan woww sangat tiap bulanbener tidak,neutral
pedagang kecil sekolah jualannya jadi sepi salah satunyakenapapikiran dewelalu satu persatu mulai pindah cari lokasi baru tentunya mulai nol,neutral
bapak gue pensi dagang sekolah,neutral
mbg banyak membunuh pelaku ekonomi kecil jumlahnya jutaan jualanya ndak laku biada jualanya dekat sekolah aduuh kasihan rakyat,neutral
sy relawan sppg daerah banyumas benar mmg ulasan video banyak tidak tau spt apa capeknya krj jadi relawan mbg,neutral
program jembutt,neutral
lebih penting makan gratis sekolah kesehatan gratis,neutral
susu uht pasar susah jadi ikut naik,neutral
diuntungkan bos bos pemilik dapur,neutral
mbg dibilang hubungannya buat pilpres pravda ocen smeshno,neutral
memang program utama memajukan negara adlh pendidikan gratis meningkatkan kualitas menaikkan gaji guru menggratiskan meningkatkan fasiltas kesehatan rakyat melakukan penegakan keadilan hukum mengerjakan program spt sngt repot mikirnya capek beda program mbg gentengisasi cuan cara baginya jelas politikus setuju jadi semuanya aman tentram,positive
mbg jadi sarang kejahatan sosial,neutral
ongkos omongkosong ppg kpl ppg kaya tidak pernah sekola baik sekolah formal sekolah lingkungan sekolahsikologo sekolah rasa kejiqaan,positive
lebih yayasan diuntungkan,neutral
untung mengelolaanak mah palingan dapetnya rb rupiah kalau dinominalkan coba kalau langsung dikasihkan dlm bntuk uang anak orang tuakn tak perlu repot bangun dapurmasak memasakdan tidak sunat menyunat uang diturunkan dr pemerintah,neutral
biasanya dagang sekolahan umkm menangis mau mengadu sama siapa,neutral
ratusan triliun bangun banyak pabrik investasi membuka lapangan kerja orang tua masak makanan bergizi anaknya bukan program mbg tak bergizi sangat,neutral
program gagal buang duit tidak sedikit kebagi mbg malah tidak makan lebih baik dana buat kesehatan lebih banyak orang terkendala berobat bpjsy membengkak belum terbayarkan,neutral
netizen terbaik,positive
ancurrr along sayur keliling gk dpt bahan pasar gawatttlh hapus ja mbg gk menguntungkan mubazir,neutral
punya pengalaman apa anak mbg,neutral
diuntungjan koruptor,neutral
mbg cara cerdas probowo ngasih makan orang partai uang rakyat,neutral
apa hubungannya harga pangan naik program mbg,neutral
untung dapurx,neutral
hari bawa makanan sisa anak sd tidak habis dimakan,neutral
negeri lawak lebih baik kasih uang aja biar meminimalisir korupsi orang cari untung program mangan gratis,neutral
bnyk keracunan tu,neutral
pak mbg lebih baik stop lebih baik bikin program bermanfaat terpenting jangan pakai pengurus mbg program baru,positive
untungkan koruptor,neutral
mbg hentikan banyak anak anak tidak doyan lebih baik uangnya orang tua murid layanan kesehatan lansia tidak berpenghasilan,positive
insyaallah pejabat dulu bukanlah orang kayakarena kalau orang kaya tahu mana letak kebahagiaan sejati dipikir biar bahagia kaya segala macam caranaudzu billah min dzaliklihatlah raja raja asli melakukan berbagai cara adil bijaksana membahagiakan rakyatnya,neutral
proyek mbg tunjuk bosnya supirnya berusaha masuk proyek tidak meski kasi uang pelicin ratusan juta ingat jangan coba coba lobby proyek tidak bakal kamu,neutral
mbg tidak ngaruh perbaikan rakyat kecil malah bikin masalah rakyat kecil penuhi kebutuhan sembako murahlapangan kerja sekolah gratisberobat gratis,positive
mau gimna rakyat kecil jdi korban ajhyg kecil trs terijak tail kalian semua,neutral
diuntungkan punya modal besarkarena membangun mempersiapan dapur dg fasilitas beaya besa jadi pegiat usaha kecilpun cuman jadi penonton,neutral
mbg proyek terkorup sepanjang sejarah republik indonesia,neutral
jelas terlibat,neutral
mbg setahun wilayah kota kalau desa plosok baru awal januari,neutral
mungkin golongan teriak nyinyir mbg belum kebagian jatah dapur mbgatau kurang kasih kue rupiah makanya berisik,neutral
terimakash pak prabowo mudahn panjang umurnya,neutral
banyak mengeluh perekonomian sekolah banyak terganggu dapur mbg sebagian besar jadi bancakan keluarga saudara teman pejabatasn harga bahan pokok ikut naik diborong dapur mbg,neutral
presiden hapuskan mbg,neutral
semrawut,neutral
lu kena tipu sama org ngaku bantujn lu proyek mbg,positive
blitar banyak belum dpt mbg gimana masutnya tidak merata,neutral
untung mah ngelola,neutral
kalau program bagus soeharto dulu bikin ternyata enggak kan aja cukup menjawab,positive
betul kata hermawati setio rini,neutral
betul kata bima tutup mbg,neutral
tanya ko rakyat soal untung tanya pemelintah perabowo dong bisnis pala penguasa,neutral
mnding uangnya ajakan lumayan ngurangi anggaran,neutral
