author,text,time,votes,clean_text
@ZAR556,"Maklum, 3x kalah pilpres

Bandar pingin cepet balik modal",2 weeks ago (edited),0,maklum kalah pilpres bandar pingin cepet balik modal
@milikidirimu2404,"Tidak apa sesak fiskal, yang penting tidak ada lagi anak Indonesia yang stunting. Persident melihat sendiri, anak umur 11 tahun badannya seperti anak umur 4 tahun.",2 weeks ago (edited),0,apa sesak fiskal penting anak indonesia stunting persident melihat sendiri anak umur tahun badannya anak umur tahun
@enji7269,Kenapa tidak disediakan air minum ya dalam program mbg 😅,2 weeks ago,0,disediakan air minum program mbg
@idprofessor1819,PERLU DI HENTIKAN BUKANYA EFESIENSI,2 weeks ago,0,perlu hentikan bukanya efesiensi
@asikinzainal1974,Sudah cukup sekali saja rezim ini,3 weeks ago,0,cukup sekali rezim
@didyliu3079,"Program yg penting menang pilpres tanpa rencana,makanya cari dananya begal sana sini dari duit2 hak subsidi lain",3 weeks ago,1,program penting menang pilpres rencanamakanya cari dananya begal sana sini duit hak subsidi
@hamonanganmanurung2504,MBG ( Makanan Busuk Gila) Ga layak utk Di makan,3 weeks ago,0,mbg makanan busuk gila layak utk makan
@AliefHidayatulloh-x8f,"Inrinya dari awal nyalon aja udah manipulasi, maka selanjutnya rencana anggaran program dll akan terus mengakali. Seakan akan rakyat bodoh narasi yg dibuat anggaran pendidikan terbesar sepanjang sejarah padahal semua dobol karena nyatanya malah real anggaran pendidikan turun daj dibawah aturan konstitusi 20%",3 weeks ago,1,inrinya awal nyalon aja udah manipulasi selanjutnya rencana anggaran program terus mengakali seakan rakyat bodoh narasi dibuat anggaran pendidikan terbesar sepanjang sejarah padahal semua dobol nyatanya malah real anggaran pendidikan turun daj dibawah aturan konstitusi
@indab.123,Apa artinya pemilu dilakukan kalo menghasilkan para koruptor,3 weeks ago,0,apa artinya pemilu dilakukan kalo menghasilkan koruptor
@AndiFirmansyah-s2w,jonsoross grup neh,3 weeks ago,0,jonsoross grup neh
@kuchenkoren4051,"Sekedar menghayal aja, Rp 335 triliun itu bisa buat membangun 9.571 gedung sekolah.",3 weeks ago,0,sekedar menghayal aja triliun buat membangun gedung sekolah
@ayamkampung17-k5c,gara gara MBG banyak pasien tewas iuran BPJS PBI malah di non aktifkan demi duitnya di pindah ke MBG . kesehatan nomor satu di rumah sakit banyak pasien terlantar,3 weeks ago,0,gara gara mbg banyak pasien tewas iuran bpjs pbi malah non aktifkan duitnya pindah mbg kesehatan nomor satu rumah sakit banyak pasien terlantar
@antoniusstefanus4292,krn jd ladang bisnis. bukan lg program kemanusiaan,3 weeks ago,0,krn ladang bisnis bukan program kemanusiaan
@Hendrix4128,"program2 wowo gagal smua kopsis sepi, mbg beracun, basi, danantara dana ghaib dll macem2 aja Lo wo buang2 anggaran mending ciptain pabrik2 baru nyerap tenaker 🤮🤑😏",3 weeks ago,0,program wowo gagal smua kopsis sepi mbg beracun basi danantara dana ghaib macem aja buang anggaran mending ciptain pabrik baru nyerap tenaker
@fadliayatullah,INVESTASI KE WC😂,3 weeks ago,1,investasi
@noily8974,Kalian kalo milih presiden yg punya program realistis masuk akal,3 weeks ago,3,kalian kalo milih presiden punya program realistis masuk akal
@YAZIDTasrip,Yang ribut-ribut protes itu adalah mereka yang selama ini hidup foya-foya dengan tunjangan berlebihan.. lalu tiba-tiba dipangkas.. distop. iya kan?!,3 weeks ago,0,ributribut protes selama hidup foyafoya tunjangan berlebihan lalu tibatiba dipangkas distop iya kan
@IsmaPutri-r2x,MBG dan MBG wo...MBG meresahkan wo...segera tutup tuh MBG mu wo,3 weeks ago,0,mbg mbg wombg meresahkan wosegera tutup tuh mbg
@Boboiboy2861,335 T jadi Eek..,3 weeks ago,0,jadi eek
@salahbacakitab,"Cina sj negara besar cuma 36 T dana mbg nya setahun,, lah konoha malah 350 T di KKN pula,, emang goblok,,",3 weeks ago,0,cina negara besar cuma dana mbg nya setahun lah konoha malah kkn emang goblok
@hwarakadah5963,Malah ditambah kopdes sama gentengisasi 😢😢😢,3 weeks ago,0,malah ditambah kopdes sama gentengisasi
@m.yusufbakhtiar1769,Dijateng kok bsa ya 1 desa ada 2 dapur mbg,3 weeks ago,0,dijateng kok bsa desa dapur mbg
@ninikrikha4742,"Faktanya nilai TKA hancur, mbg tidak berdampak",3 weeks ago,0,faktanya nilai tka hancur mbg berdampak
@AgusVillaxe,Prabowo kira dana APBN adalah duitnya,3 weeks ago,0,prabowo kira dana apbn duitnya
@tiro_lavano,Banyak warga yang terbantu dan terinspirasi sama program pemerintah yang berpihak ke rakyat,3 weeks ago,0,banyak warga terbantu terinspirasi sama program pemerintah berpihak rakyat
@Black-ut9gi,Ini program yang udah bikin negara tetangga iri dengan kehebatan Republik Indonesia buat membaiki gizi siswa,3 weeks ago,0,program udah bikin negara tetangga iri kehebatan republik indonesia buat membaiki gizi siswa
@indoblogger6320,Ini akibat lose streak jadi beliau cari cara buat balek modal dan untung besar😂😂😂😂,3 weeks ago,0,akibat lose streak jadi beliau cari cara buat balek modal untung besar
@rabiyulawaluddin2076,Ambisi joko widodo pada bulan oktober sebelum lengser demi korupsi cuan bayar balik ongkos pemilu memenangkan anaknya gibran fufufafa,3 weeks ago,0,ambisi joko widodo bulan oktober lengser korupsi cuan bayar balik ongkos pemilu memenangkan anaknya gibran fufufafa
@AgungWahyudi90,"MBG & KDMP akan jalan terus meskipun mengorbankan pendidikan, kesehatan, sembako, darurat bencana, dll — Kenapa?

Karena ini program dan pertaruhan politik presiden PS.

Kalo sampai berhenti di tengah jalan bisa jadi bahan bully lawan politiknya",3 weeks ago,0,mbg kdmp jalan terus meskipun mengorbankan pendidikan kesehatan sembako darurat bencana program pertaruhan politik presiden kalo berhenti tengah jalan jadi bahan bully lawan politiknya
@fadliayatullah,Iri dengan jumlah korban keracunan terbanyak sedunia,3 weeks ago,0,iri jumlah korban keracunan terbanyak sedunia
@bostico1,"Laporan Pak Dpr tidak ada efisienai anggaran , tidak adil emang😢",3 weeks ago,0,laporan pak dpr efisienai anggaran adil emang
@andigula5585,Tujuan MBG kan memang bagi bagi proyek korupsi. Kalau buat gizi ngapain ada MBG di Jawa. Orang timur yang harusnya dapat. Disana semuanya mahal berkali-kali lipat dari jawa,3 weeks ago,0,tujuan mbg kan memang proyek korupsi kalau buat gizi ngapain mbg jawa orang timur harusnya disana semuanya mahal berkalikali lipat jawa
@dukuntedjo,itu bukti wowo MAKAR kpd RAKYAT,3 weeks ago,0,bukti wowo makar kpd rakyat
@koalabear5874,Nyorooss engga ya😅,3 weeks ago,0,nyorooss engga
@mzeko5300,"Daripada untuk MBG, kerahkan sumberdaya pemerintah lebih baik digunakan untuk membuat peraturan dan pengawasan langsung supaya sebisa mungkin anak2 bisa mengakses smartphone. Karena menurutku sumber permasalahan sekarang yang paling menganggu perkembangan otak anak ialah penggunaan smartphone. Lihatlah sendiri anak sekarang SD SMP sudah menggunakan ponsel bahkan dibawa sampai ke sekolah.",3 weeks ago,0,mbg kerahkan sumberdaya pemerintah lebih baik digunakan membuat peraturan pengawasan langsung sebisa mungkin anak mengakses smartphone menurutku sumber permasalahan sekarang paling menganggu perkembangan otak anak ialah penggunaan smartphone lihatlah sendiri anak sekarang smp menggunakan ponsel bahkan dibawa sekolah
@cryptomawan4465,😂 Antek Soros😂,3 weeks ago,0,antek soros
@donichannelgg,"bayangin 5 tahun MBG tidak ada peninggalannya, yang ada hanya tai di septictank. mending diinvestasikan dalam bentuk lain apakah itu pendidikan atau infrastruktur udah jelas outputnya",3 weeks ago,0,bayangin tahun mbg peninggalannya tai septictank mending diinvestasikan bentuk pendidikan infrastruktur udah jelas outputnya
@gendis_dwayne,Salut sama pemerintah yang terus bergerak cari solusi buat masyarakat biar gak makin susah,3 weeks ago,0,salut sama pemerintah terus bergerak cari solusi buat masyarakat biar gak makin susah
@nurwakhidyulianto4042,Gokil mas reza,3 weeks ago,0,gokil mas reza
@putra_adiputro06,"Biarpun banyak omongan, tetap pilih support pemerintah yuk demi Indonesia yang lebih baik",3 weeks ago,0,biarpun banyak omongan tetap pilih support pemerintah yuk indonesia lebih baik
@khairilanwar232,"Proyek oh proyek,mana mau mbg di hentikan,",3 weeks ago,0,proyek proyekmana mau mbg hentikan
@ajiprayogo1945,"Alhamdulillah terimakasih
Berkat adanya MBG, anak2 kami bisa makan yg bergizi
Dimana yang sangat sulit kami dapatkan sebelumnya,
Alhamdulilah terimakasih❤❤❤❤",3 weeks ago,0,alhamdulillah terimakasih berkat adanya mbg anak makan bergizi sangat sulit dapatkan sebelumnya alhamdulilah terimakasih
@zahra_melani,Program pemerintah bikin banyak orang merasa diperhatikan dan nggak sendiri,3 weeks ago,0,program pemerintah bikin banyak orang merasa diperhatikan sendiri
@rizky_yoga,Masyarakat sekarang nggak ragu sampaikan ide ke pemerintah karena responnya selalu positif,3 weeks ago,0,masyarakat sekarang ragu sampaikan ide pemerintah responnya selalu positif
@whattimeisit9627,"Bego sumpah apa-apa efisensi anggran sekarang, bahkan sampai listrik wkwkwkwk, di kantor gue juga thr kemarin ga nyampe 100% 😂😂😂😂😂",3 weeks ago,0,bego sumpah apaapa efisensi anggran sekarang bahkan listrik wkwkwkwk kantor gue thr kemarin nyampe
@lameela_alesya,Salut buat pemerintah yang nggak pernah bosan berinovasi buat kebaikan masyarakat,3 weeks ago,0,salut buat pemerintah pernah bosan berinovasi buat kebaikan masyarakat
@khansa_bila,Pemerintah sukses lahirin inovasi yang menyentuh langsung kebutuhan rakyat,3 weeks ago,0,pemerintah sukses lahirin inovasi menyentuh langsung kebutuhan rakyat
@yudiwahyudi5255,Di madrasah dekat rumah saya tanya ketetangga kok mobil mbg udah beberapa hari kaga keliatan dijawab ada kok tapi lewat sana lagian anak2 pada males ngambil karena kebanyakan kaga enaknya. Akhirnya emak2nya yang pada ngambilin buat dimakan dirumah. Ntah siapa yang makan,3 weeks ago,0,madrasah dekat rumah tanya ketetangga kok mobil mbg udah beberapa hari kaga keliatan dijawab kok lewat sana lagian anak males ngambil kebanyakan kaga enaknya akhirnya emaknya ngambilin buat dimakan dirumah ntah siapa makan
@layth_maula,Dukungan pemerintah untuk petani jelas bikin hasil panen meningkat dan sejahtera,3 weeks ago,0,dukungan pemerintah petani jelas bikin hasil panen meningkat sejahtera
@gani_wibisono,"Sekarang nggak perlu ribet lagi urus keperluan, karena pemerintah udah siapkan solusi praktis",3 weeks ago,0,sekarang perlu ribet urus keperluan pemerintah udah siapkan solusi praktis
@prw4,Bukan harganya tapi bisa tidak meningkatkan 2-3× lipat hasilnya di luas lahan sama?,3 weeks ago,0,bukan harganya meningkatkan lipat hasilnya luas lahan sama
@lareef_daniyal,Seneng banget lihat program pemerintah yang terus berkembang dan adaptif sama kebutuhan zaman,3 weeks ago,0,seneng banget lihat program pemerintah terus berkembang adaptif sama kebutuhan zaman
@farmaditya_w,"peradaban Indonesia sebagai bangsa bukan hanya tertinggal, tapi justru mundur.",3 weeks ago,0,peradaban indonesia bangsa bukan tertinggal justru mundur
@rendra_pranataa,Semua program pemerintah selalu dikawal biar manfaatnya maksimal ke masyarakat,3 weeks ago,0,semua program pemerintah selalu dikawal biar manfaatnya maksimal masyarakat
@GagangSapu-r9z,Terimakasih pak prabowo dan semua jajaran terus berjuang demi rakyatmu dan NKRI ❤🇮🇩❤ Lanjutkan program MBG dan koperasi merah putih rakyat sangat membutuhkan ❤❤❤,3 weeks ago,0,terimakasih pak prabowo semua jajaran terus berjuang rakyatmu nkri lanjutkan program mbg koperasi merah putih rakyat sangat membutuhkan
@ira_dewi925,Kebijakan pro rakyat dari pemerintah bikin harapan untuk masa depan makin cerah,3 weeks ago,0,kebijakan pro rakyat pemerintah bikin harapan masa depan makin cerah
@LieNuk,Mending buat keringanan biaya kuliah,3 weeks ago,0,mending buat keringanan biaya kuliah
@aguzsupra6545,Sejak ada MBG konoha berubah jd NKRI : Negara Ketring RI.. 😊,3 weeks ago,0,sejak mbg konoha berubah nkri negara ketring
@khalisa_hanifa40,"Kebijakan Presiden tujuannya supaya hidup rakyat makin oke, yuk saling dukung jangan malah nyinyir",3 weeks ago,0,kebijakan presiden tujuannya hidup rakyat makin oke yuk saling dukung jangan malah nyinyir
@berenice_elowen,"Kalo pengen maju, biasain hati-hati sama isu negatif, mending support habis-habisan pemerintah kita",3 weeks ago,0,kalo pengen maju biasain hatihati sama isu negatif mending support habishabisan pemerintah
@zahra_permatasari4,"Nggak semua berita harus dipercaya, kroscek dulu sebelum mikir buruk soal pemerintah",3 weeks ago,0,semua berita dipercaya kroscek dulu mikir buruk soal pemerintah
@salwa_kamila44,"Nggak usah repot debat isu negatif, fokus dukung pemerintah aja",3 weeks ago,0,usah repot debat isu negatif fokus dukung pemerintah aja
@arsa_kalandra,"Jangan jadi pemburu isu negatif, ramaikan dengan dukungan ke pemerintah",3 weeks ago,0,jangan jadi pemburu isu negatif ramaikan dukungan pemerintah
@briella_arsha,"Demi masa depan yang cerah, kita harus jadi generasi yang gak gampang termakan isu dan selalu dukung pemerintah",3 weeks ago,0,masa depan cerah jadi generasi gak gampang termakan isu selalu dukung pemerintah
@adriprans9326,"ok gas.. lanjutkan lagi periode selanjutnya pak. biarkan alama yang meyeleksi siapa yang bertahan, siapa yang akan pindah alam. joged dlu, ok gas.. next pilih yang jago akting sama buat keputusan instan ya. jgn menormalisasi pemimpin yang bikin sistem. 😅 ok gas",3 weeks ago,0,gas lanjutkan periode selanjutnya pak biarkan alama meyeleksi siapa bertahan siapa pindah alam joged dlu gas next pilih jago akting sama buat keputusan instan jgn menormalisasi pemimpin bikin sistem gas
@mirveta_laksmi,"Jangan sampai pikiran kita dirusak sama isu yang ga jelas asalnya, mending support pemerintah aja",3 weeks ago,0,jangan pikiran dirusak sama isu jelas asalnya mending support pemerintah aja
@alula_yumna,"Pemerintah udah all out mikirin rakyat, giliran kita support biar semua lancar sesuai arahan presiden",3 weeks ago,0,pemerintah udah all out mikirin rakyat giliran support biar semua lancar sesuai arahan presiden
@isyana_wati,Ayo jadi squad pendukung pemerintah yang nggak termakan berita bohong,3 weeks ago,0,ayo jadi squad pendukung pemerintah termakan berita bohong
@salsa_amalia1,"Selalu semangatin pemerintah dengan komentar positif, biar makin termotivasi",3 weeks ago,0,selalu semangatin pemerintah komentar positif biar makin termotivasi
@citra_ayuuu,"Jaga lingkungan tetap positif, jangan lelah kasih dukungan ke pemerintah yang terus berjuang",3 weeks ago,0,jaga lingkungan tetap positif jangan lelah kasih dukungan pemerintah terus berjuang
@dahlia_ramadhani,"Bareng pemerintah, kita bisa atasi isu negatif dan wujudkan kemajuan bareng-bareng",3 weeks ago,0,bareng pemerintah atasi isu negatif wujudkan kemajuan barengbareng
@lameela_alesya,"Jaga vibe positif, selalu dukung pemerintah, no time for issue negatif",3 weeks ago,0,jaga vibe positif selalu dukung pemerintah time for issue negatif
@alifah_dubai,"Kesejahteraan rakyat tanggung jawab pemerintah, tugas kita cuma support, jangan nyebar isu",3 weeks ago,0,kesejahteraan rakyat tanggung jawab pemerintah tugas cuma support jangan nyebar isu
@silpia_punri00,Lebih baik bantu pemerintah daripada jadi bagian dari masalah lewat stigma negatif,3 weeks ago,0,lebih baik bantu pemerintah jadi bagian masalah lewat stigma negatif
@raden_pamungkas,"Stigma negatif tuh ga penting, yang penting kita support pemerintah sesuai arahan Pak Presiden",3 weeks ago,0,stigma negatif tuh penting penting support pemerintah sesuai arahan pak presiden
@zahra_ramadhani01,"Supaya target pemerintah buat rakyat sejahtera tercapai, diperlukan semangat dari gen Z kayak kita",3 weeks ago,0,target pemerintah buat rakyat sejahtera tercapai diperlukan semangat gen kayak
@PutraDesign_99,efisiensi untuk MBG = SAMPAH,3 weeks ago,0,efisiensi mbg sampah
@qianara_putrii,"Sudah waktunya percaya pemerintah, jangan buang energi buat bahas isu receh",3 weeks ago,0,waktunya percaya pemerintah jangan buang energi buat bahas isu receh
@abneru_saputra,"Nggak usah baper kalo ada isu miring, pemerintah udah maksimal buat rakyat",3 weeks ago,0,usah baper kalo isu miring pemerintah udah maksimal buat rakyat
@KakangBabang-p2j,"Maaf untuk anggota polisi memang tidak ada kerjaan ?? Mengapa harus sibuk bantu kirim MBG ?
Tuh banyak begal, banyak maling , banyak kdrt, banyak yg masih anda bantu .
Tolong kembalikan kinerja TNI polri pada tempatnya jangan jadi tukang ketring walaupun memang cuan nya gede buat mereka",3 weeks ago,0,maaf anggota polisi memang kerjaan sibuk bantu kirim mbg tuh banyak begal banyak maling banyak kdrt banyak bantu kembalikan kinerja tni polri tempatnya jangan jadi tukang ketring walaupun memang cuan nya gede buat
@gani_wibisono,Percaya pemerintah itu bentuk rasa optimis kita sama masa depan bangsa,3 weeks ago,0,percaya pemerintah bentuk rasa optimis sama masa depan bangsa
@angelica_maharani,"Tahan dulu share issue, cek dulu info kayak yang selalu diomongin Pak Presiden, pemerintah butuh dukungan dari kita",3 weeks ago,0,tahan dulu share issue cek dulu info kayak selalu diomongin pak presiden pemerintah butuh dukungan
@irma_safitri8,"Kalau beneran peduli bangsa, gausah ikutan spread berita negatif, lebih baik support nyata",3 weeks ago,0,kalau beneran peduli bangsa gausah ikutan spread berita negatif lebih baik support nyata
@salwa_anggraini35,"Support pemerintah itu penting, daripada ikut-ikutan nyebarin stigma negatif mending fokus ke hal positif",3 weeks ago,0,support pemerintah penting ikutikutan nyebarin stigma negatif mending fokus positif
@ihza_rahadian,"Ayo bareng-bareng dukung pemerintah, Indonesia butuh orang-orang positif yang nggak gampang dihasut stigma",3 weeks ago,0,ayo barengbareng dukung pemerintah indonesia butuh orangorang positif gampang dihasut stigma
@bertha_melati,"Kesejahteraan rakyat jadi prioritas, makanya yuk support terus usaha pemerintah",3 weeks ago,1,kesejahteraan rakyat jadi prioritas makanya yuk support terus usaha pemerintah
@xaverius_kusumaa,"Nggak usah takut buat support pemerintah, selama semua demi kebaikan rakyat",3 weeks ago,0,usah takut buat support pemerintah selama semua kebaikan rakyat
@uchihaimron3153,"Mayoritas ekonomi masyarakat bergerak di sektor Informal industri makanan minuman.
Pemerintah nya malah ikutan dagang dong 😂😂",3 weeks ago,1,mayoritas ekonomi masyarakat bergerak sektor informal industri makanan minuman pemerintah nya malah ikutan dagang dong
@lukman_akbar,"Yuk kawal terus program pemerintah, jangan kasih ruang buat isu negatif tumbuh di sekitar kita",3 weeks ago,0,yuk kawal terus program pemerintah jangan kasih ruang buat isu negatif tumbuh
@lisnaSolehah,Bisa gak MBG memperkerjakan se-Indonesia kerja di MBG semua. Baru sejahtera,3 weeks ago,0,gak mbg memperkerjakan seindonesia kerja mbg semua baru sejahtera
@nayyah_safit,"Yuk, jadi bagian dari solusi dengan dukung program pemerintah, jangan termakan omongan negatif",3 weeks ago,0,yuk jadi bagian solusi dukung program pemerintah jangan termakan omongan negatif
@lisnaSolehah,MBG menyiksa ekonomi,3 weeks ago,0,mbg menyiksa ekonomi
@naznin_assyifa,"Jangan percaya isu receh yang nggak jelas asalnya, support pemerintah aja yuk",3 weeks ago,0,jangan percaya isu receh jelas asalnya support pemerintah aja yuk
@elzard_pratama,"Kalau kata Pak Presiden, pemerintah terus berusaha buat rakyat lebih sejahtera, jadi stay positive dan dukung bareng-bareng",3 weeks ago,0,kalau kata pak presiden pemerintah terus berusaha buat rakyat lebih sejahtera jadi stay positive dukung barengbareng
@angga_yudha7,"Kalau pengen Indonesia makin top, pastikan pemerintah dapet dukungan total dari generasi muda",3 weeks ago,0,kalau pengen indonesia makin top pastikan pemerintah dapet dukungan total generasi muda
@damar_aryas,Solusi biar Indonesia tambah maju itu ya bareng-bareng dukung program pemerintah kayak pesan Pak Presiden,3 weeks ago,0,solusi biar indonesia tambah maju barengbareng dukung program pemerintah kayak pesan pak presiden
@brio_cassian,"Biar makin sejahtera, kita bareng-bareng dukung langkah pemerintah kayak kata Pak Presiden jangan kebawa stigma buruk dari luar",3 weeks ago,0,biar makin sejahtera barengbareng dukung langkah pemerintah kayak kata pak presiden jangan kebawa stigma buruk luar
@ifahmj894,Presiden bebal kepala batu. Program tak berguna. Menghamburkan uang sia2. Membunuh masa depan bangsa. Hilang 3 generasi bangsa ini. Sampai kiamat Indonesia hanya mimpi untuk jadi negara maju. Krn cuma mikirin isi perut bukan isi otak,3 weeks ago,0,presiden bebal kepala batu program tak berguna menghamburkan uang sia membunuh masa depan bangsa hilang generasi bangsa kiamat indonesia mimpi jadi negara maju krn cuma mikirin isi perut bukan isi otak
@vian_rezki,"Sedikit aja percaya sama usaha pemerintah, efeknya bakal kerasa buat banyak orang",3 weeks ago,0,sedikit aja percaya sama usaha pemerintah efeknya bakal kerasa buat banyak orang
@yni_mrlina,"Pemerintah udah banyak berjuang buat rakyat, kurang apa lagi Tinggal dukungan penuh dari kita",3 weeks ago,0,pemerintah udah banyak berjuang buat rakyat kurang apa tinggal dukungan penuh
@dika_huse,Kita buktikan bareng dukungan buat pemerintah bisa bikin Indonesia makin solid,3 weeks ago,0,buktikan bareng dukungan buat pemerintah bikin indonesia makin solid
@tiara_anggraini11,"Jangan takut buat jadi pendukung pemerintah, selama tujuannya buat rakyat, kenapa enggak",3 weeks ago,0,jangan takut buat jadi pendukung pemerintah selama tujuannya buat rakyat enggak
@MohammadJupri-w8v6f,KOROPSI HUKUM MATI,3 weeks ago,0,koropsi hukum mati
@FloraNau,Presiden dg programnya yg tdk pro rakyat seperti ini dapat jatuh sebelum masa jabatan berakhir atau tdk terpilih lagi pd wkt nya nanti,3 weeks ago,0,presiden programnya tdk pro rakyat jatuh masa jabatan berakhir tdk terpilih wkt nya
@rendra_pranataa,"Kalo ada isu aneh soal pemerintah, jangan langsung percaya, cari tau dulu sebelum react",3 weeks ago,0,kalo isu aneh soal pemerintah jangan langsung percaya cari tau dulu react
@FloraNau,Program paling dungu dr semua presiden,3 weeks ago,0,program paling dungu semua presiden
@rabbani_jama,"Jangan kasih kendor buat dukung pemerintah, biar isu negatif nggak ada ruang sama sekali",3 weeks ago,0,jangan kasih kendor buat dukung pemerintah biar isu negatif ruang sama sekali
@asma_alif,Bangga dong kalau bisa jadi bagian dari anak muda yang selalu support pemerintah dan tolak isu negatif,3 weeks ago,0,bangga dong kalau jadi bagian anak muda selalu support pemerintah tolak isu negatif
@roy_bores,"Presiden udah kasih arahan, sekarang giliran kita buat terus jadi pendukung pemerintah yang aktif",3 weeks ago,0,presiden udah kasih arahan sekarang giliran buat terus jadi pendukung pemerintah aktif
@rizky_anwar,"Sesuai instruksi presiden, pemerintah terus kerja keras, masa kita ragu-ragu buat dukung",3 weeks ago,0,sesuai instruksi presiden pemerintah terus kerja keras masa raguragu buat dukung
@avelia_santika,"Gak semua berita itu fakta, jadi yuk bijak dan tetap support pemerintah seperti pesan dari Pak Presiden",3 weeks ago,0,gak semua berita fakta jadi yuk bijak tetap support pemerintah pesan pak presiden
@emen_wirahadi,"Sesuai saran presiden, yuk tetap bareng pemerintah, ga perlu mikirin isu negatif yang belum tentu valid",3 weeks ago,0,sesuai saran presiden yuk tetap bareng pemerintah perlu mikirin isu negatif valid
@zahra_melani,"Yuk bareng-bareng dukung kebijakan pemerintah, jangan gampang termakan isu miring karena tujuan utamanya buat rakyat makin sejahtera",3 weeks ago,0,yuk barengbareng dukung kebijakan pemerintah jangan gampang termakan isu miring tujuan utamanya buat rakyat makin sejahtera
@baliq_mufid,"Presiden dan pemerintah masih terus kerja biar rakyat makin makmur, yuk stay positive",3 weeks ago,0,presiden pemerintah terus kerja biar rakyat makin makmur yuk stay positive
@hadisunandar2066,"Program kesehatan untuk rakyat miskin banyak yg di cabut hanya demi membelikan motor untuk orang yg bahkan untuk beli mobil pun bisa , mikir biasanya pakai otak , tapi kali ini mungkin pakai dengkul hingga kebijakan yg diambil jauh sekali  maknanya dr kata itu.",3 weeks ago,0,program kesehatan rakyat miskin banyak cabut membelikan motor orang bahkan beli mobil mikir biasanya pakai otak kali mungkin pakai dengkul hingga kebijakan diambil jauh sekali maknanya kata
@Princ4320,Negara bisa bangkrut dan berhutang besar karna program ambisius wowo,3 weeks ago,1,negara bangkrut berhutang besar karna program ambisius wowo
