clean_text,sentiment
kami orang dusun orang pinggiran yang mayoritas penduduk ri sangat senang anak2 kami dapat makan setiap sekolah.kalian cnn jangan brisik kayak kompor pergilah dari indonesia km itu media siapa nyinyir aja sama pemerintah.giliran ada bagusnya mulutmu diam,positive
terus kapan kita di ntt kusus nya di desa mata aer hingga sekarang ko tidak ada tanda tanda kehidupan makan gratis,negative
"banyak mitra dapur mbg yang ngga dibayar, ada yang curang. mungkin aja dikorup.",negative
"bravo bocor alus tempo, jangan sampai kendor suarakan terus kebenaran. yakinlah kebenaran akan menang ❤",positive
"dari pada makan bergizi, lebih baik bikin pabrik alat berat, pabrik mesin pertanian dan pabrik pupuk non export",negative
rawan di korupsi program mbg ini,negative
"yayasannya aja satuan komando kesejahteraan prajurit (skkp), mau sejahterakan prajurit kah rakyat generasi muda..😢",negative
"ancurrr along2 sayur keliling tidak dpt bahan di pasar, gawatttlh, hapus ja mbg ini tidak menguntungkan mubazir yang ada",negative
"usul yang bagus pak..tapi tidak akan dilaksanakan..karena kepentingannya bukan itu..yg penting adalah sambil menyelam minum air..jadi sambil ceritanya peduli ama anak2, semua kroni dapet jatah ..",negative
nanti ada lawan bocor kasar dari cokro tv😂,neutral
spill siapa ra? 😅,neutral
​murid jadi tameng agar proyeknya tetap berjalan,negative
kepulauan riau ngreriiiiiii cuy......,neutral
"negara ini sudah rusak serusak rusaknya, korupsi dmn mana, pembunuhan, pemerkosaan, pengerusakan alam, perbudakan, dsb.. huftt",negative
asikk bocor halus👍👍,positive
smoga hasil dari proyek mbg dibagi rata adil biar adil....mbg ❤❤❤,positive
ayo tempo terus berikan pencerahan ke pada publik .,positive
tidak ada makan siang gratis. hari ini itu bukan hanya pepatah..,negative
yang ky gini mah termasuk hukum dagang &trik dagang klo orang yang biasa berdagang sdh paham jdi g perlu di bahas,neutral
nunggu sejenis satrio piningit atau che guevara,neutral
"andalan gibran kali, klo prabowo tidak ikut, udah pasti kalah di pemilu kemaren",negative
dan ternaknya masih buta gegara apa padahal hidup mereka masi susah tetep aja ngebela majikan ngeden,negative
"yang bodoh harus dibohongi, yang kalah harus menderita, yang belum sadar harus dikibulin he he he....... sampai tumbuh kesadaran untuk berani marah........ sebelum itu susah....... yang pinter semakin menderita sampai nunggu yang bodoh sadar.",negative
"mbg tempat gw tidak ada ni , parah 2 hari tidak di kasih . kemana itu duitnya? vendor sialan",negative
kalau menyimak dan mendengarkan obrolan bocor alus makin kesini makin geregetan makin penasaran maju terus tempo majalah yang paling terdepan,positive
"denger2 lisensi mbg sudah dikaplingkan ke 'institusi', ormas besar, dan 'otoritas tertentu'. nah, ini lagi ""jual beli"" lisensi ke vendor vendor di masyarakat. ada yang dijual lepas, ada yang sistem bagi hasil",negative
"ayo pak prabowo,janjinya mana katanya mau mensejaterakan rakyatttt",negative
"inget dulu kan ekspor lobster, isinya orag gerindra semua 😂 bullshit dia mikirin rakyat",negative
program gagal sama kaya prakerja,negative
"satu tahun? itu yang sdh berjalan satu tahun ada banyak yang baru beberapa bulan,bahkan ada daerah di jakarta yang belum dapat. berarti tidak bisa digeneralisasi berjalan satu tahun.",negative
"tenan to. yakin kalau kerja jurnalistik tempo valid. jelas akan banyak. kkn nya dari lingkaran mereka. untuk menggemukkan yang mendukung mereka. tidak akan ada yang berani audit. semua di bawah kendal penguasa angin, air, dan tanah.😮",
"kalau ngomong duang ini hasil investigasi, lapor saja. kalau ngomong sampai berbusa kaya gini, apa bedanya anda yang melebeli org dgn diri anda.",negative
rakyat kita mudah digiring opini nya.. di sodorin joget joget gj aja langsung menang meraih suara tertinggi voting pemilu.,negative
tempo makin terdepan,positive
ada yang dengan bangga akan menemui trump untuk meminta penurunan tarif eh tidak taunya malah dinaikan😅 malu sampai ke ubun😂😂😂,negative
ganti rezim sama aja jadi lahan korupsi.,negative
program mbg ini. harus pintar akting. mrk sprt buat filim. bawahan lapor pengeluaran pemimpin se olah2 mendengar. dan percaya. tapi filim ny tidak masuk akal.mana mungkin tidak d slidiki.,negative
prabowo lebih cocok jadi pebisnis daripada presiden..,negative
"terimakasih tempo,,👍👍👍",positive
ada juga media dan kaum fitnah para penikmat uangnya goorge soros ( yahudi internasional).,negative
tambang baru lewat seporsi mbg,negative
"ngg usah di lanjutkan, sarang koruptor",negative
pendidikan gratis itu tidak perlu yang penting perut dulu 😁,negative
iya karena byk membantu ibu ibu yang di tidak pekerjaan nya,positive
sudah dipastikan bisa sj terjadi kecurangan2 lebih baik setiap oang tua murid di berikan makanan pokok ( beras) dll..,negative
gokil..,positive
"harga-harga merangkak naik, disini jeruk udh gapernah turun lagi, sama dgn telur dan bahan pokok lain",negative
"gerak manipulatif negara terhadap rakyatnya itu untuk menggantikan sistem gagal... sebenarnya program dibuat sebagai alat kontrol elektoral (kecurangan halus) yang kasih umpan manis sambil pertahankan ketimpangan struktural... gerak manipulatif ini digunakan dengan program ""kebaikan"" untuk beli loyalitas kelas bawah,sembunyikan fakta bahwa kebijakan asli (hukum timpang, prioritas korporasi) justru berimbas pada perilaku peras rakyat miskin.",negative
mbg di daerah saya ada. sekolah saya kebetulan dapat.. dalam 1 kecamatan aja.. baru beberapa sekolah yang dapat... masih banyak yang tidak dapat,negative
"aneh, saya sudah minta pak dadan kasih tempo 10 dapur dan diinformasikan lewat yayat cipasang agar anak indonesia bisa ikut menikmati dana asing yang dipakai tempo untuk nakal..dan disuruh juga ke dapurnya jimi hantu ex prd, satu golongan dgn tempo, ternyata tempo tidak mau...tempo cemen ah😂",negative
👌👌👌👌👌,positive
kantin sekolah merugi,negative
ooo pantes,neutral
ohh ini channel dari media yang didanai george soros,neutral
tetap mengungkap kebenaran....bravo tempo ❤,positive
"saran untuk tempo supaya lebih menelisik anggaran 71 t ataupun 171 t itu untuk apa saja, apakah hanya untuk makanan saja atau sebenarnya kurang 50 % anggaran yang digunakan belanja mbg dan sisanya operasional",neutral
orang orang gerindra menguasai indonesia.,neutral
bukan rahasia lg itu memang kontrak politik,negative
mbg harusnya melibatkan sekolah dalam pelaksanaannya.,neutral
"hati hati ada ""pendukung"" tapi penggembos agar terlihat jelek, pak prabowo mending mbg digabung dengan program stunting antara menteri kesehatan dan menteri sosial, puskesmas posyandu masuk ke sekolah, didata anak yang stunting, kurang gizi, rumahnya didatangi diberikan langsung telur mentah, ayam, beras, gas, dan uang saku setiap bulan untuk anak itu agar keluarganya masak sendiri makanan itu, diupload difoto, setiap 6 bulan di lakukan monitoring. kasih insentive lapangan ke puskesmas, yang berhasil mengatasi gizi kasih reward juga. dst.",positive
"bener kali, ini adalah proyek makan gratis👍👍👍",positive
"bukan bocor alus lagi, ban pecahhh",neutral
kasihan kantin di sekolah2 yang dipunyai ibu2 miskin dgn modal kecil2an.,negative
"sabar ya, bang b4b1 b4b1 mulyono mulai berkeliaran disini 😂😂",negative
ingat banget dulu byk pihak yang menentang program mbg ini karena akan ada ladang korupsi. dan terbukti sekarang pihak siapa yang diuntungkan.. danantara tidak menutup kemungkinan juga. ironi sekali,negative
usaha itu boleh asal tidak korupsi.. iri aja kalian,negative
"proyek untuk 58% pemilih , termasuk buzzer nya.",negative
"banyak ""tikus"" ya di indonesia 😮",negative
kacau,negative
"relawan atau relasi partai ikut mensukseskan program makan gratis menurut ku ngga ada masalah, wajar aja dan biasa aja yang penting jgn korupsi",positive
hati2 progam mbg paling bertahsn 5 th.,negative
"koperasi yang digadang menjadi konsolidator masih minim realisasi, sdm yang kurang, meritokrasi yang belum merata, koperasi yang lama belum tergarap baik.. seolah koperrasi yang lama tidak ditemukan dalam percakapan kmp, maunya harus diseleksi juga untuk menjadi kategori koperrasi yang butuh disupport.. jangan semuanya seperti bagi bagi jatah kue",negative
"kenyataannya banyak phk,anak2 juga ada yang keracunan mbg,ada yang makanannya tidak di mskan,yg di buang dll.😂",negative
"bnr kata yutuber politik, ini proyek korupsi. mantap..pantes klu dikritik tidak trima",negative
"tidak milih 02, tapi udah dari awal tau nih proyek bakal korupsi gede. orang tidak jelas step2 prosedurnya butuh ahli nutrisi, penyedia makanan, dapur masaknya itu pun tiap hari beda masakannya, tiap daerah beda2 dan tidak semua daerah ada bahan makanannya",negative
"memprihatinkan, kalau hasil investigasi ini benar. yang miskin tetap miskin. yang miskin dan tidak berwawasan, banyak yang tidak tahu mereka ini sedang dimiskinkan.",negative
"sya pribadi tidak setuju program mbg dan juga bukan pendukung prabowo. namun melihat skuad yang menyukseskan program mbg diisi oleh para pendukung prabowo, sya kira hal tersebut wajar. yang menjadi konsern adalah, apakah ada penyelewengan dana 71triliun + 100 ini. jika 100% digunakan untuk masyarakat, ya tidak masalah.",neutral
didaerah saya mbg yang megang tentara serta bagian kepala dapur dan staff staff lainnya diisi purnawirawan tentara wkwk,negative
supply chain rusak.,negative
yang di untungkan pihak pengelola di lapangan,negative
proyek ini wajib d selidiki..kalau skr emang susah karna ceo nya org no satu d konoha..,negative
mantep kroni2 nya kaya mendadak... selamat menikmati...,negative
yang untung dapur2x,neutral
yang diutungkan para pemborong dapur mbg....kader kader gerendra...borong tempat masak mbg....,negative
kalo kata pak wowo seluruh rakyat indonesia 😄😄🤡,negative
"nanti nya kita tengok,, apakah sama kayak nya, e ktp.",negative
ikut ok gass ok gass lah sapa tau ada yang mau ngangkat gwa jadi komisaris 😂🎉🎉,negative
mbg ...koperasi merah putih...lumbung suara grindra...pemilu ke depan ..,negative
program terbodoh sepanjang masa,negative
ini proyek bukan untuk rakyat....tp proyek buat elit2 sj maju terus tempo......ttp hati2....😊😊😊 dan waspada,negative
mengkritik program berskala nasional yang baru berjalan satu tahun hanya berdasarkan kendala logistik di beberapa titik adalah pandangan yang kurang proporsional. tidak ada program sebesar ini di dunia yang langsung sempurna di tahun pertama. pemerintah sedang melakukan fine-tuning pada sistem distribusi. masalah rasa atau kesegaran sayur adalah tantangan operasional di lapangan yang terus dievaluasi melalui standar dapur satuan pelayanan. yang jauh lebih penting adalah keberanian politik untuk memulai pemenuhan gizi anak bangsa secara masif demi memutus rantai stunting yang sudah puluhan tahun menghantui indonesia,positive
yang di untungkan hanya orang2 tertentu terutama yang punya modal dan bisa membuka mbg,negative
sudah rahasia umum,neutral
wah wah 😂,neutral
setidaknya ada yang tercatat 5 besar,neutral
yang pasti banyak team pemenangan yang kelola mbg,negative
​ absolutely right 😂😂😂,neutral
"sampai muak, pemerintah seperti ini, tidak bisa meberi contoh yang baik kepada masyarakat, yang ada hanya korupsi, tidak ada prestasi, sekarang korupsi merajalela turun kemasyarakat bawah.",negative
red green,neutral
jurnalis spt tempo menjadi barang langka dinegri demokrasi omon-omon,positive
proyek makan gizi gratis(bukan gratis) pengeluaran biaya yaitu yayasan mitra usaha,negative
mbg maling berkedok gizi,negative
belum lgi proyek di papua haji isam yang notabene org deket prabowo juga 😂,negative
mendingan di ganti sama uang aja selama bulan puasa,negative
"budget segini, penyajian ada selisih. sisanya?",negative
"dari 2019 dia emang udah gitu, inget lobster ekspor, mayoritas perusahaan punya orang gerindra yang dapet jatah wkwkwk",negative
calon mega korupsi baru,negative
"maklum si pupuriril taunys cuma dapat bansos,dia pikir bansos duit dari jokowi x.😂",negative
lebih fresh tempat biasanya,neutral
"tempo keren,teruskan menyuarakan kebenaran",positive
teman2 bocor alus tau tidak sih skg adab tandinggan potkes bocor kasar,neutral
masakan tempo kelas bintang 5 harga kaki lima👍,positive
"makan bergizi gratis???dari awal lagi,gua dah mengganggap inilah ladang korupsi yang terkini!!!dimanakah akal fikiran pemerintah ini???bukan begitu caranya untk memberikan makanan bergizi gratis!!!!mbg adalah salah satu ladang korupsi yang ditiru ketika jokowi berkuasa,semua projek nya, dikorupsi sebesar-besarnya dan dijadikan alat untk mengintidimasi dan membungkam seseorg!!!mmg licik dan jahat,cara menjerat dgn dihidangkan ladang korupsi yang pasti membutakan mata hati seseorg!!!!jika diaudit, pasti ketirisan byk terjadi!!!pak prabowo sudah wajib merombak kabinet dan menteri2 titipan jokowi!!!jika diteruskan bersama jokowi,inilah yang terjadi,matahari kembar!!!kapolri paling wajib ditukar,semua badan institusi negara wajib dirombak, korupsi punca segala kerosakkan dan kehancuran republic ini,wajib dimusuhi pemerintah dan rakyat!!!!",negative
"dari awal d cetuskan juga udah banyak yang menduga bakal jadi lahan baru korupsi.. ambisinya ini itu tpi tidak paham situasi. d konoha jngankan ada celah, tidak ada celah aja bisa d buat korup",negative
"bogor hadir bongkar terus mas pram &dkk,,atas kebusukan dan kemunafikan para bromocorah yang sering di sebut ""elit eksekutip,legislatiip &yudikatip pusat maupun daerah...trs brjuang dan jngan prnh gentar.",negative
tuh kan bi bogor akhirnya disebutttttttt,neutral
"kan memang benar program makan gizi gratis yang dukung dan pejabatnya konoha juga harus ""makan"" bergizi juga 😂",negative
"dari awal proyek ini digembor2kan, gw sudah prediksi proyek ini akan bermasalah",negative
"gila pada tidak takut sama dosa pemimpin2 kita, selalu mematasnamakan rakyat",negative
relawan tapi dibayar 😂,negative
hidup vegan go vegan,neutral
yang diuntungkan ya yang di beri makan itu satu yang lain2nya ada banyak to orang proyek kok ha ha ha,negative
di konoha susah membedakan pejabat dngn penjahat.....,negative
"71t klo dipake untuk biaya pendidikan gratis bakal luar biasa, biarlah urusan gizi anak² kami biar kami sbg orang tua yang urus😢",negative
"presenter ini menurut pandangan saya, sangat lihai berprofesi sebagai mistress...",positive
yang diuntungkan bos bos pemilik dapur.,negative
🤨​,neutral
kapan nih bocor alus bahas ijazah palsu yang lagi rame ....,neutral
kasian juga pihak sekolah/ sektor pendidikan yang nti akan terlibat langsung dlm pelaksanaan di lapangan tapi sm sekali tidak dilibatkan .,negative
"dari 10 rebu trs dipangkas lagi 2 ribu,mbg jd 8 ribu 😂😂😂. 8 ribu perak makan paan jnkk.. bener kata mr ompong,mbg lahan basah buat para tikus",negative
awass nanti wowo menggeruduk...mengjritisi disamain dengan menghina...,negative
"mbg gratis, kata siapa, kan dibayar pakai pajak yang rakyat bayar.... mbg gratis, menyesatkan.....!!!!!????",negative
yang untung ialah para pejabat daerah yang membuat proyek dapur sppg dg menggunakan org lain sbagai kepala yayasan nya..,negative
58%,neutral
bukan gelap lagi tapi gulita.... 😂,negative
maling berdasi menguasai nkri,negative
sudah berkali kali berganti presiden tidak ada yang mampu mensejahterakan guru honorer. hanya hitungan bulan prbowo menjabat sudah mampu mensejahterakan supir dan petugas cuci piring di sppg. mantap prabowo,positive
"bravo, tempo bocor alus",positive
"sejak prbw mencetuskan ide makan siang gratis saat kampanye, sdh dpt di perkirakan bwh akn jadi project bancakan oleh kroni prabowo. ternyata benar.",negative
aku ora iso mikir ngangsur bank tiap bulan lek...kahanane tambah ruwet..,negative
gua dari 2014 pilih prabowo dan sampe kpanpun🤪,positive
wajar siy. secara udah 3 kali kalah pilpres tidak kebayang udah berapa triliun duit abis buat modal kampanye. begitu menang pemilu wajib ngeruk duit lewat proyek2 dan program2 biar balik modal atau bahkan untung besar.,negative
tidak heran klo makanan basi,negative
paling untung para pendukung pak pejabat.,negative
"tempo + pdip+mafud md kalau ada kebocoran / korupsi tidak fitnahan , bongkar❤❤❤❤",positive
dosa apa sih kita ini sebagai rakyat indonesia.setelah 10 tahun dibohongi dengan keluguan kedok plonga plongo.masih harus lagi menanggung dosa kerakusan berjamaah dibungkus omon omon ngedabus,negative
"yang diuntungkan? ya pasti mitra lah, 1 miliyar lebih pertahun broh, belum main-mainannya. ""tapi kan dia bertanggung jawab dg 3000an porsi setiap hari"" yang bertanggung jawab bkn yang punya, tapi yang bekerja di situ.. ""tapi kan adanya sppg buka lapangan kerja yang besar?"". iya gw tahu, tapi sistemnya memilih pilihan yang harus mengorbankan yang lain. kita cm dikasih lowongan kerja dg gaji kira2 umr aja udah goblok, jadi buta sama fakta bahwa mbg itu bkn hanya mengorbankan penghasilan pedagang kecil, atau peserta bpjs, atau guru honorer, tapi merusak sistem yang awalnya sudah semrawut, jadi tambah ndk karuan. kita tunggu saja, sampai ketimpangan sosial ini pada puncaknya. apakah negara akan mempercepat chaos, atau menundanya, atau justru sesegera mungkin introspeksi diri?",negative
tinggal tempo yang bisa kami percaya dari semua media. lanjutkan perlawanan terhadap kedholiman dan kezaliman para penikmat kekuasaan.,positive
terus konsisten tempo,positive
ya ekonomi masarakat kecil tak ada perubahan,negative
"kacau bukan mengajarkan berpuasa , malah milih lnjut dibulan ramadhan,.",negative
cair... 🤑🤑🤑,positive
"halah ee kucing,, kita yang petani tau harga sayuran??? cabai cengek tidak lebih dari 20rb sekilo,, lahan 100tumbak tidak lebih dari 15kg seminggu,, terong, seladah, burkol dan brokoli tidak lebih dari 3rb perkilo,, sawi, pecai tidak lebih dari 1rb sekilo,, sejahtera petani apanya?",negative
yang untung buesaarr ya cuman pemilik yayasan yang berafiliasi sama rezim. yang laen mah dapet ceritanya doang,negative
tempo lagi lagi memasak,positive
lha sepi karena mbg ? apa hubungannya? apa karena anak makan gratis trus orang tua tidak masak ?,negative
"program makan bergizi ini tentu punya niat baik untuk kesehatan anak-anak. terlepas dari siapa yang menjadi mitra, harapannya kualitas makanan tetap terjaga dan tidak ada penyimpangan agar manfaatnya benar-benar sampai ke siswa",positive
jaga mulutmu​,neutral
mbg memang di ciptakan untuk bolo bolo....,negative
kita sudah menduga ternyata benar ada penikmat mbg.. tidak ada makan siang gratis.,negative
udah ada timnya yang bahas. cek sentana tv,negative
ini program abah anies harusnya abah presidennya😊❤,positive
"trimakasih tas hidangan yang disuguhkn tempo, masakan & menunya slu yang baru dan penuh gizi dan vitamin",positive
"segera bertaubat wahai kaum 58, buka pikiran dan hati kalian. cukup 1 periode aja😢",negative
"broo, mau tanya mengenai ceo tempo itu namanya siapa ?",neutral
mbg hanya proyek rampok uang negara.😂😂😂,negative
"mbg lupa dengan pemasuk kantin sekolah2, pondok pesantren, matiin brp masyarakat kecil, lupa ya ekonomi siapa yang maju,, relawan mbg pun orang2 ttn",negative
"mereka tidak salah, yang salah yang milih mereka!!",negative
mantap,positive
kenapa tidak lngsung diberikan uang sj biar tidak semakin bnyk korupsi soalnya mbg yng diberikan tidak sesuai dengan harga jatah 15000,negative
te mpo wakil suara rakyat yang bersih kredibel dan tajam. kepaja babi di masak sajikan ke istana,positive
"satuju brow,, mbg program sontoloyo",negative
sdh diduga proyek2 pemerintah pasti yang menikmati pasti yang deket kekuasaan,negative
negeri ini semakin kacau agama tidak lagi di amalkan nafsu serakah penguasa hukum apa ini,negative
disitu ada gula disitu ada semut .........,negative
mbg = program cetak ta1k nasional😂,negative
siapa yang menguntungkan kehadiran dana mbg?..?pihak pihak yang tak bertanggung jawab.,negative
"kasihan kantin sekolah. udah punya tempat, pengalaman, dan akses bahn baku. tinggal nambah karyawan dan porsi. tiba-tiba lahannya diambil orang yang lebih kuat. mau mengadu ke siapa bingung karena cuma rakyat kecil.",negative
betul sekali omset turun 50-70%,negative
"apan gua udah bilang mbg pasti sarang korupsi baru ,klw dipertahankan berarti ada apa2nya",negative
"mereka bisa membuat program skala besar dan menggaji relawan mbg dengan layak tapi gaji guru masih ditekan sedemikian rupa. padahal sedikit saja dana itu dialihkan buat kesejahteraan guru, guru jadi bisa beli buku dan menambah ilmunya. jadi sadarkan pendidikan kita mmg bukan untuk mencerdaskan anak bangsa.",negative
kapan beliau turun jabatan,negative
pasti ada...pantang ada proyek dananya tidak dikorupsi...manusia2 serakah jahannam.,negative
didaerah masih ada dapur yang ngasih asal jd yang untung pengusaha yang py uang.bahkan anggota dewan byk yang ikut mutar duit disitu .yg kaya makin kaya.kl pelaksana lebih baik di kuasai militer lebih aman teratur disiplin dan terorganisir.❤kantin sekolah buat jd dapur mbg lebih relevan dan merata.,negative
bubarkan kpk!!! hanya menjadi beban apbn...kerja dan hasil nol besar,negative
"got it, kalau buku-buku politik yang rekomended apa ya bang?",neutral
akan semakin parah.,negative
yang diuntungkan ya dpt proyek 😅😅,negative
namanya saja mbg/makan bergizi gratis jadi yang makan bisa siapa saja & itu bisa dimulai dari orang2 istana & kroni2 nya😂😂😂😂.,negative
data yang di dpt harus disimpan.,neutral
"mbg segera diberhentikan saja, anak sekolah tanggung jawab orang tuanya, keberhasilan meningkatkan gizi tidak sebanding kerugian negara karna ladang korupsi",negative
tidak ada kak di ibukota pun tidak dapat. mungkin hanya wilayah tertentu,negative
yang untung pak wowo lah bisa 2 periode spt jkw dan bltnya,
alah tempe tidak ada yang dukung kecuali antek antek jossoros amerika kami tidak percaya lagu dg majalah tempe goreng😅😅😅😅,negative
"makan bergizi gratis dan bener"" gratis 😂😂😂",positive
daripada proyek makan gratis apa tidak lebih manfaat buka lahan sawah atao lain yang lebih baik untuk rakyat yang kurang mampu,negative
mantap... 😊,positive
31:08 😂,neutral
"yang untung pejabat, elite parpol, institusi timses, relawan dan kroni2 yang kemaren dukung presiden, gubernur dan bupati,,, kalau orang2 diluar pusaran diatas, jangan harap berlebih, mau ikut kerja saja susah,,,",negative
ladang cuan baru,negative
salut banget sama tempo❤❤❤❤❤❤❤❤❤❤❤❤,positive
setiap hari bawa makanan sisa dari anak sd yang tidak habis dimakan.,negative
"bravo bocor alus ,teruskan tugas pengamatan ini scr jujur dan transparan, input untuk pemerintah/ kpk tolong simak pls !!!",positive
10 tahun pemerintahan gagal ehh malah mau ditambah 5 tahun lagi bahkan ada wacana nambah 5 tahun lagi.. wassalam dah tinggal nunggu ancur nya aja nih negara....,negative
yang untung adalah orang yang punya modal besar dan yang dekat dgn kekuasaan. masyarakat kecil semakin terpinggirkan. fakta....!!,negative
kalau uang jajan di transfer saja untuk anak yang kurang mampu saja... sebenarnya mereka sedang menciptakan ladang koruptor,negative
bagi2 duit lewat proyek.,negative
sakit hati ya,negative
"peluang kerja baru buat warga sekitar datang dari mbg, semoga tetap jalan terus",positive
mayoritas tapi di pimpin minoritas ………,negative
pak presiden ini blm puasa dari rumah sdh niat berpuasa di sklh bagi makanan apa ini di namakan etik .justru merusak iman pd generas penerus .kok ngeyel msh nyalurin mbg apa ngk bisa di uangkan .klu mikir buat buka puasa .bkn makanan yang mubajir di buangin .apa itu bukan uang .pak menteri yang hebat .,negative
"saya tidak suka tempo, karena ada uang nya soros di dalam nya. soros adalah aktor pemecah belah bangsa dan untuk keuntungan asing..",negative
"jadi presiden, jadi pejabat, jadi pendukung niatnya hanya untuk cari makan, politik ta1 kucing 1ndonesia, kapan bisa maju ini negara 😂",negative
ini ngomong ada bukti kongkretnya nggk ya,negative
rencana pabowo emg biar uang rakyat dikorupsi,negative
"ada anak yang punya keterbatasan untuk memakan (bisa alergi, bisa susah menelan, bisa karena konsi mulut dan atau tenggorok) apakah ini dipikirin juga oleh ahli gizi.... ??boros anggaran, boros pikiran, boros tenaga... ""buang saja mbg ke sampah jangan ke perutmu"" ada racun kapitalis membunuh kemandirianmu....",negative
korupsi mega proyek maling2 berkedok gizi yang di legalkan dgn perpres?,negative
"dalami juga rekrutmen sppi, calon2 kepala sppg dalam program mbg banyak peserta yang dikecewakan akibat tudak transparan",negative
"kalo mbg ini ada 3 org anak bersaudara yang sekolahnya sama, maka diselingi ya kadang si a dapet dan 2nya kaga dan seterusnya, masalahnya ponakan saya seperti itu di sekolahnya.",negative
konten baru 🎉🎉🎉,neutral
"merusak pedagang kecil yang nitip kue di kantin, pedagang cilok keliling, es keliling...",negative
hiburan buat yang kalah pilpres wkwkwkwkwk,negative
"setujuu, mbg emang ngerusak pasarr. ada lapangan kerja yang tumbuhh, ada pula yang hancur😢 istilahnya, cuma ganti pemain aja, yang dulu pasar bebas, sekarang jadi orang2 seragam coklat, ijo, parpol, atau ormas",negative
mbg program yang tidak jelas....,negative
kroni kroni agen intel mossad yahudi george soros ada di sini,negative
analogy nya kurang tepat . tidak gitu konsep nya,negative
gampang ditebak pasti pemain protein mbg tidak jauh dari pendukung pencapresan or a no work.,negative
​ hedeh blm move on y.yg sdh jelas g terbukti di ungkit trs.tuh tanyakan korupsi pertamina sdh sampai di mana,negative
jogetin aja sambil beli gass😅,negative
bravo tempo❤,positive
indonesia darurat akhlaq adab moral perilaku etika konstitusi dan ekonomi,negative
"pantesan sulit ditutup itu proyek, ternyata sebagian besar dlm lingkaran",negative
