author,text,time,votes
@AliefHidayatulloh-x8f,"Inrinya dari awal nyalon aja udah manipulasi, maka selanjutnya rencana anggaran program dll akan terus mengakali. Seakan akan rakyat bodoh narasi yg dibuat anggaran pendidikan terbesar sepanjang sejarah padahal semua dobol karena nyatanya malah real anggaran pendidikan turun daj dibawah aturan konstitusi 20%",3 weeks ago,1
@indab.123,Apa artinya pemilu dilakukan kalo menghasilkan para koruptor,3 weeks ago,0
@AndiFirmansyah-s2w,jonsoross grup neh,3 weeks ago,0
@kuchenkoren4051,"Sekedar menghayal aja, Rp 335 triliun itu bisa buat membangun 9.571 gedung sekolah.",3 weeks ago,0
@ayamkampung17-k5c,gara gara MBG banyak pasien tewas iuran BPJS PBI malah di non aktifkan demi duitnya di pindah ke MBG . kesehatan nomor satu di rumah sakit banyak pasien terlantar,3 weeks ago,0
@antoniusstefanus4292,krn jd ladang bisnis. bukan lg program kemanusiaan,3 weeks ago,0
@Hendrix4128,"program2 wowo gagal smua kopsis sepi, mbg beracun, basi, danantara dana ghaib dll macem2 aja Lo wo buang2 anggaran mending ciptain pabrik2 baru nyerap tenaker 🤮🤑😏",3 weeks ago,0
@fadliayatullah,INVESTASI KE WC😂,3 weeks ago,1
@noily8974,Kalian kalo milih presiden yg punya program realistis masuk akal,3 weeks ago,3
@YAZIDTasrip,Yang ribut-ribut protes itu adalah mereka yang selama ini hidup foya-foya dengan tunjangan berlebihan.. lalu tiba-tiba dipangkas.. distop. iya kan?!,3 weeks ago,0
@IsmaPutri-r2x,MBG dan MBG wo...MBG meresahkan wo...segera tutup tuh MBG mu wo,3 weeks ago,0
@Boboiboy2861,335 T jadi Eek..,3 weeks ago,0
@agusprayitno8642,😢😮😅,3 weeks ago,0
@salahbacakitab,"Cina sj negara besar cuma 36 T dana mbg nya setahun,, lah konoha malah 350 T di KKN pula,, emang goblok,,",3 weeks ago,0
@hwarakadah5963,Malah ditambah kopdes sama gentengisasi 😢😢😢,3 weeks ago,0
@m.yusufbakhtiar1769,Dijateng kok bsa ya 1 desa ada 2 dapur mbg,3 weeks ago,0
@ninikrikha4742,"Faktanya nilai TKA hancur, mbg tidak berdampak",3 weeks ago,0
@AgusVillaxe,Prabowo kira dana APBN adalah duitnya,3 weeks ago,0
@tiro_lavano,Banyak warga yang terbantu dan terinspirasi sama program pemerintah yang berpihak ke rakyat,3 weeks ago,0
@Black-ut9gi,Ini program yang udah bikin negara tetangga iri dengan kehebatan Republik Indonesia buat membaiki gizi siswa,3 weeks ago,0
@indoblogger6320,Ini akibat lose streak jadi beliau cari cara buat balek modal dan untung besar😂😂😂😂,3 weeks ago,0
@rabiyulawaluddin2076,Ambisi joko widodo pada bulan oktober sebelum lengser demi korupsi cuan bayar balik ongkos pemilu memenangkan anaknya gibran fufufafa,3 weeks ago,0
@AgungWahyudi90,"MBG & KDMP akan jalan terus meskipun mengorbankan pendidikan, kesehatan, sembako, darurat bencana, dll — Kenapa?

Karena ini program dan pertaruhan politik presiden PS.

Kalo sampai berhenti di tengah jalan bisa jadi bahan bully lawan politiknya",3 weeks ago,0
@fadliayatullah,Iri dengan jumlah korban keracunan terbanyak sedunia,3 weeks ago,0
@bostico1,"Laporan Pak Dpr tidak ada efisienai anggaran , tidak adil emang😢",3 weeks ago,0
@andigula5585,Tujuan MBG kan memang bagi bagi proyek korupsi. Kalau buat gizi ngapain ada MBG di Jawa. Orang timur yang harusnya dapat. Disana semuanya mahal berkali-kali lipat dari jawa,3 weeks ago,0
@dukuntedjo,itu bukti wowo MAKAR kpd RAKYAT,3 weeks ago,0
@koalabear5874,Nyorooss engga ya😅,3 weeks ago,0
@mzeko5300,"Daripada untuk MBG, kerahkan sumberdaya pemerintah lebih baik digunakan untuk membuat peraturan dan pengawasan langsung supaya sebisa mungkin anak2 bisa mengakses smartphone. Karena menurutku sumber permasalahan sekarang yang paling menganggu perkembangan otak anak ialah penggunaan smartphone. Lihatlah sendiri anak sekarang SD SMP sudah menggunakan ponsel bahkan dibawa sampai ke sekolah.",3 weeks ago,0
@cryptomawan4465,😂 Antek Soros😂,3 weeks ago,0
@donichannelgg,"bayangin 5 tahun MBG tidak ada peninggalannya, yang ada hanya tai di septictank. mending diinvestasikan dalam bentuk lain apakah itu pendidikan atau infrastruktur udah jelas outputnya",3 weeks ago,0
@gendis_dwayne,Salut sama pemerintah yang terus bergerak cari solusi buat masyarakat biar gak makin susah,3 weeks ago,0
@nurwakhidyulianto4042,Gokil mas reza,3 weeks ago,0
@putra_adiputro06,"Biarpun banyak omongan, tetap pilih support pemerintah yuk demi Indonesia yang lebih baik",3 weeks ago,0
@khairilanwar232,"Proyek oh proyek,mana mau mbg di hentikan,",3 weeks ago,0
@ajiprayogo1945,"Alhamdulillah terimakasih
Berkat adanya MBG, anak2 kami bisa makan yg bergizi
Dimana yang sangat sulit kami dapatkan sebelumnya,
Alhamdulilah terimakasih❤❤❤❤",3 weeks ago,0
@zahra_melani,Program pemerintah bikin banyak orang merasa diperhatikan dan nggak sendiri,3 weeks ago,0
@rizky_yoga,Masyarakat sekarang nggak ragu sampaikan ide ke pemerintah karena responnya selalu positif,3 weeks ago,0
@whattimeisit9627,"Bego sumpah apa-apa efisensi anggran sekarang, bahkan sampai listrik wkwkwkwk, di kantor gue juga thr kemarin ga nyampe 100% 😂😂😂😂😂",3 weeks ago,0
@lameela_alesya,Salut buat pemerintah yang nggak pernah bosan berinovasi buat kebaikan masyarakat,3 weeks ago,0
@khansa_bila,Pemerintah sukses lahirin inovasi yang menyentuh langsung kebutuhan rakyat,3 weeks ago,0
@yudiwahyudi5255,Di madrasah dekat rumah saya tanya ketetangga kok mobil mbg udah beberapa hari kaga keliatan dijawab ada kok tapi lewat sana lagian anak2 pada males ngambil karena kebanyakan kaga enaknya. Akhirnya emak2nya yang pada ngambilin buat dimakan dirumah. Ntah siapa yang makan,3 weeks ago,0
@layth_maula,Dukungan pemerintah untuk petani jelas bikin hasil panen meningkat dan sejahtera,3 weeks ago,0
@gani_wibisono,"Sekarang nggak perlu ribet lagi urus keperluan, karena pemerintah udah siapkan solusi praktis",3 weeks ago,0
@prw4,Bukan harganya tapi bisa tidak meningkatkan 2-3× lipat hasilnya di luas lahan sama?,3 weeks ago,0
@lareef_daniyal,Seneng banget lihat program pemerintah yang terus berkembang dan adaptif sama kebutuhan zaman,3 weeks ago,0
@farmaditya_w,"peradaban Indonesia sebagai bangsa bukan hanya tertinggal, tapi justru mundur.",3 weeks ago,0
@rendra_pranataa,Semua program pemerintah selalu dikawal biar manfaatnya maksimal ke masyarakat,3 weeks ago,0
@GagangSapu-r9z,Terimakasih pak prabowo dan semua jajaran terus berjuang demi rakyatmu dan NKRI ❤🇮🇩❤ Lanjutkan program MBG dan koperasi merah putih rakyat sangat membutuhkan ❤❤❤,3 weeks ago,0
@ira_dewi925,Kebijakan pro rakyat dari pemerintah bikin harapan untuk masa depan makin cerah,3 weeks ago,0
@LieNuk,Mending buat keringanan biaya kuliah,3 weeks ago,0
@aguzsupra6545,Sejak ada MBG konoha berubah jd NKRI : Negara Ketring RI.. 😊,3 weeks ago,0
@khalisa_hanifa40,"Kebijakan Presiden tujuannya supaya hidup rakyat makin oke, yuk saling dukung jangan malah nyinyir",3 weeks ago,0
@berenice_elowen,"Kalo pengen maju, biasain hati-hati sama isu negatif, mending support habis-habisan pemerintah kita",3 weeks ago,0
@zahra_permatasari4,"Nggak semua berita harus dipercaya, kroscek dulu sebelum mikir buruk soal pemerintah",3 weeks ago,0
@salwa_kamila44,"Nggak usah repot debat isu negatif, fokus dukung pemerintah aja",3 weeks ago,0
@arsa_kalandra,"Jangan jadi pemburu isu negatif, ramaikan dengan dukungan ke pemerintah",3 weeks ago,0
@briella_arsha,"Demi masa depan yang cerah, kita harus jadi generasi yang gak gampang termakan isu dan selalu dukung pemerintah",3 weeks ago,0
@adriprans9326,"ok gas.. lanjutkan lagi periode selanjutnya pak. biarkan alama yang meyeleksi siapa yang bertahan, siapa yang akan pindah alam. joged dlu, ok gas.. next pilih yang jago akting sama buat keputusan instan ya. jgn menormalisasi pemimpin yang bikin sistem. 😅 ok gas",3 weeks ago,0
@mirveta_laksmi,"Jangan sampai pikiran kita dirusak sama isu yang ga jelas asalnya, mending support pemerintah aja",3 weeks ago,0
@alula_yumna,"Pemerintah udah all out mikirin rakyat, giliran kita support biar semua lancar sesuai arahan presiden",3 weeks ago,0
@isyana_wati,Ayo jadi squad pendukung pemerintah yang nggak termakan berita bohong,3 weeks ago,0
@salsa_amalia1,"Selalu semangatin pemerintah dengan komentar positif, biar makin termotivasi",3 weeks ago,0
@citra_ayuuu,"Jaga lingkungan tetap positif, jangan lelah kasih dukungan ke pemerintah yang terus berjuang",3 weeks ago,0
@dahlia_ramadhani,"Bareng pemerintah, kita bisa atasi isu negatif dan wujudkan kemajuan bareng-bareng",3 weeks ago,0
@lameela_alesya,"Jaga vibe positif, selalu dukung pemerintah, no time for issue negatif",3 weeks ago,0
@alifah_dubai,"Kesejahteraan rakyat tanggung jawab pemerintah, tugas kita cuma support, jangan nyebar isu",3 weeks ago,0
@silpia_punri00,Lebih baik bantu pemerintah daripada jadi bagian dari masalah lewat stigma negatif,3 weeks ago,0
@raden_pamungkas,"Stigma negatif tuh ga penting, yang penting kita support pemerintah sesuai arahan Pak Presiden",3 weeks ago,0
@zahra_ramadhani01,"Supaya target pemerintah buat rakyat sejahtera tercapai, diperlukan semangat dari gen Z kayak kita",3 weeks ago,0
@PutraDesign_99,efisiensi untuk MBG = SAMPAH,3 weeks ago,0
@qianara_putrii,"Sudah waktunya percaya pemerintah, jangan buang energi buat bahas isu receh",3 weeks ago,0
@abneru_saputra,"Nggak usah baper kalo ada isu miring, pemerintah udah maksimal buat rakyat",3 weeks ago,0
@KakangBabang-p2j,"Maaf untuk anggota polisi memang tidak ada kerjaan ?? Mengapa harus sibuk bantu kirim MBG ?
Tuh banyak begal, banyak maling , banyak kdrt, banyak yg masih anda bantu .
Tolong kembalikan kinerja TNI polri pada tempatnya jangan jadi tukang ketring walaupun memang cuan nya gede buat mereka",3 weeks ago,0
@gani_wibisono,Percaya pemerintah itu bentuk rasa optimis kita sama masa depan bangsa,3 weeks ago,0
@angelica_maharani,"Tahan dulu share issue, cek dulu info kayak yang selalu diomongin Pak Presiden, pemerintah butuh dukungan dari kita",3 weeks ago,0
@irma_safitri8,"Kalau beneran peduli bangsa, gausah ikutan spread berita negatif, lebih baik support nyata",3 weeks ago,0
@salwa_anggraini35,"Support pemerintah itu penting, daripada ikut-ikutan nyebarin stigma negatif mending fokus ke hal positif",3 weeks ago,0
@ihza_rahadian,"Ayo bareng-bareng dukung pemerintah, Indonesia butuh orang-orang positif yang nggak gampang dihasut stigma",3 weeks ago,0
@bertha_melati,"Kesejahteraan rakyat jadi prioritas, makanya yuk support terus usaha pemerintah",3 weeks ago,1
@xaverius_kusumaa,"Nggak usah takut buat support pemerintah, selama semua demi kebaikan rakyat",3 weeks ago,0
@uchihaimron3153,"Mayoritas ekonomi masyarakat bergerak di sektor Informal industri makanan minuman.
Pemerintah nya malah ikutan dagang dong 😂😂",3 weeks ago,1
@lukman_akbar,"Yuk kawal terus program pemerintah, jangan kasih ruang buat isu negatif tumbuh di sekitar kita",3 weeks ago,0
@lisnaSolehah,Bisa gak MBG memperkerjakan se-Indonesia kerja di MBG semua. Baru sejahtera,3 weeks ago,0
@nayyah_safit,"Yuk, jadi bagian dari solusi dengan dukung program pemerintah, jangan termakan omongan negatif",3 weeks ago,0
@lisnaSolehah,MBG menyiksa ekonomi,3 weeks ago,0
@naznin_assyifa,"Jangan percaya isu receh yang nggak jelas asalnya, support pemerintah aja yuk",3 weeks ago,0
@elzard_pratama,"Kalau kata Pak Presiden, pemerintah terus berusaha buat rakyat lebih sejahtera, jadi stay positive dan dukung bareng-bareng",3 weeks ago,0
@angga_yudha7,"Kalau pengen Indonesia makin top, pastikan pemerintah dapet dukungan total dari generasi muda",3 weeks ago,0
@damar_aryas,Solusi biar Indonesia tambah maju itu ya bareng-bareng dukung program pemerintah kayak pesan Pak Presiden,3 weeks ago,0
@brio_cassian,"Biar makin sejahtera, kita bareng-bareng dukung langkah pemerintah kayak kata Pak Presiden jangan kebawa stigma buruk dari luar",3 weeks ago,0
@ifahmj894,Presiden bebal kepala batu. Program tak berguna. Menghamburkan uang sia2. Membunuh masa depan bangsa. Hilang 3 generasi bangsa ini. Sampai kiamat Indonesia hanya mimpi untuk jadi negara maju. Krn cuma mikirin isi perut bukan isi otak,3 weeks ago,0
@vian_rezki,"Sedikit aja percaya sama usaha pemerintah, efeknya bakal kerasa buat banyak orang",3 weeks ago,0
@yni_mrlina,"Pemerintah udah banyak berjuang buat rakyat, kurang apa lagi Tinggal dukungan penuh dari kita",3 weeks ago,0
@dika_huse,Kita buktikan bareng dukungan buat pemerintah bisa bikin Indonesia makin solid,3 weeks ago,0
@tiara_anggraini11,"Jangan takut buat jadi pendukung pemerintah, selama tujuannya buat rakyat, kenapa enggak",3 weeks ago,0
@MohammadJupri-w8v6f,KOROPSI HUKUM MATI,3 weeks ago,0
@FloraNau,Presiden dg programnya yg tdk pro rakyat seperti ini dapat jatuh sebelum masa jabatan berakhir atau tdk terpilih lagi pd wkt nya nanti,3 weeks ago,0
@rendra_pranataa,"Kalo ada isu aneh soal pemerintah, jangan langsung percaya, cari tau dulu sebelum react",3 weeks ago,0
@FloraNau,Program paling dungu dr semua presiden,3 weeks ago,0
@rabbani_jama,"Jangan kasih kendor buat dukung pemerintah, biar isu negatif nggak ada ruang sama sekali",3 weeks ago,0
@asma_alif,Bangga dong kalau bisa jadi bagian dari anak muda yang selalu support pemerintah dan tolak isu negatif,3 weeks ago,0
@roy_bores,"Presiden udah kasih arahan, sekarang giliran kita buat terus jadi pendukung pemerintah yang aktif",3 weeks ago,0
@rizky_anwar,"Sesuai instruksi presiden, pemerintah terus kerja keras, masa kita ragu-ragu buat dukung",3 weeks ago,0
@avelia_santika,"Gak semua berita itu fakta, jadi yuk bijak dan tetap support pemerintah seperti pesan dari Pak Presiden",3 weeks ago,0
@emen_wirahadi,"Sesuai saran presiden, yuk tetap bareng pemerintah, ga perlu mikirin isu negatif yang belum tentu valid",3 weeks ago,0
@zahra_melani,"Yuk bareng-bareng dukung kebijakan pemerintah, jangan gampang termakan isu miring karena tujuan utamanya buat rakyat makin sejahtera",3 weeks ago,0
@baliq_mufid,"Presiden dan pemerintah masih terus kerja biar rakyat makin makmur, yuk stay positive",3 weeks ago,0
@hadisunandar2066,"Program kesehatan untuk rakyat miskin banyak yg di cabut hanya demi membelikan motor untuk orang yg bahkan untuk beli mobil pun bisa , mikir biasanya pakai otak , tapi kali ini mungkin pakai dengkul hingga kebijakan yg diambil jauh sekali  maknanya dr kata itu.",3 weeks ago,0
@Princ4320,Negara bisa bangkrut dan berhutang besar karna program ambisius wowo,3 weeks ago,1
@APBNdefisit_pajakdown,"Dampak negatif MBG bagi ekonomi & sosial =
1. Defisit APBN semakin dalam
2. Hutang Negara semakin naik
3. Pemborosan Sistematis
4. Mbg malay 2.9 T vs franc 25 T, india 21 T & konoha 335 T pertahun
5. Penyebab kenaikan tarif pajak & menjadi penyebab penambahan object pajak
6. Mematikan rezeki pedagang kecil yang jual disekolah
7.Dapur MBG blm bersertifikat HACCP
8.Membuat program utama prioritas terbengkalai
9.Ladang basah bagi koruptor & rawan bocor
10.Keamanan pangan kurang terjamin karena dapur mbg belum bersertifikat internasional.
11.Dana Transfer ke daerah menjadi menurun & menyebabkan kenaikan PBB di berbagai daerah
12.Dampak Keracunan massal yang minim empati dr pejabat, pemerintah lepas tangan atas peristiwa keracunan masal & tetap menggeber program MBG dgn segala resikonya
13.Hanya memperkaya orang orang kaya saja yakni pemilik SPPG. Tidak menyelesaikan akar persoalan bangsa yaitu Kemiskinan, Pengangguran, SDM, Infrastruktur, Jaminan Sosial , Malnutrisi,Ketahanan Pangan, Pemberantasan Judi Online,Korupsi dll",3 weeks ago,7
@vina_ratiah,"Gue pilih percaya sama pemerintah, ngapain hidup kebawa stigma negatif",3 weeks ago,0
@DuniaHewan028,"Dana MBG bisa di hemat dengan cara daerah daerah yang menolak MBG tidak usah di kasih ,karena akan buang buang / Mubadzir ....jadi pemerintah fokus kan duku ke daerah yang membutuhkan/ menerima program MBG dengan perbaikan kwalitas menu ) gizi nya sekaligus untuk  pilot projects ‼️",3 weeks ago,0
@hans88jbr60,"Tanpa MBG anak Indonesia pasti makan, bahkan lebih bergizi dari masakan emaknya disamping masakan MBG",3 weeks ago,3
@tariza_jeanna,"Nggak semua yang kamu dengar itu bener, jadi pastikan tetap kasih dukungan ke pemerintah",3 weeks ago,0
@bernita_cahaya,"Jangan pernah ngeremehin usaha pemerintah, mereka tuh kerja keras biar rakyat makin bahagia",3 weeks ago,0
@pullandstack8599,Di kecamatanku saja ada 20 lebih dapur sppg 😅 gila gila MBG ini beberapa punya Polsek setempat,3 weeks ago,7
@quietfont,Kenapa ga ada yg mengerti keinginan pak president. Ini semua sudah sesuai kan pak? Bahkan ini semua belum ada apa2nya. Semoga MBG semakin besar lagi dampaknya ya pak. Maju terus presidenku!,3 weeks ago,0
@AdiPrayogoGstyle,"Prabowo tidak sudi MBG diotak-atik, lebih baik harga di pasar naik dan warteg mahal daripada jatah MBG dikurangi, mana mungkin proyek politik 2029 di ganggu-ganggu",3 weeks ago,0
@dyahdwic5851,NKRI (Negara Katering Republik Indonesia),3 weeks ago,0
@nopanarika430,Pengen cepet 2029 ya Allah cape :(,3 weeks ago,0
@aryaPangestu-zc6gj,Tempo lu kena kasus  ... Jurnalistik harus mengerti etika  ... Kecuali lu cuma konten kreator  ... Lu harus pinter memilih kata dan bahasa sebagai kode etik jurnalistik,3 weeks ago,0
@dilan_emonio,"Yuk jaga persatuan, jangan kasih celah isu negatif masuk ke lingkungan kita",3 weeks ago,0
@Areyou-e5s,"Anggaran diambil dari dana pendidikan, tapi dananya dikelola bgn yg merupakan lembaga yg bukan di bawah naungan kem pendidikan 😅
Pembelanjaan aneh mbg saja gak di usut kpk/kejaksaan, termasuk belanja barang dapur untk sppg d Jogja (kok cuman Jogja ya 😂)..
Ini bukti program ambisi Prabowo",3 weeks ago,2
@pieterandreas-x7f,BGN malah foya2 beli motor trail,3 weeks ago,1
@doneesaurus,"batu sudah si bowo itu, gak bakal mau dia ngurangi anggaran mbg",3 weeks ago,1
@cutcrisnadewi3973,"Jelas"" MBG ga bergizi ...hanya menghabiskan anggaran ..TUTUP sdh paling benar",3 weeks ago,0
@budipurwanto3004,Kami yakin info tsb tidak sampai ketelinga Presiden,3 weeks ago,0
@wahyujaya3776,"Kemenag banyak juga anggarannya, harusnya kemendiktisaintek yang lebih banyak",3 weeks ago,0
@heru_subiantoro,"Tinggal transfer aj ke orang tua murid dan tulis menu tiap harinya,akan jauh lebih efektif...",3 weeks ago,0
@cintaindonesia4336,hasil dr pemilu curang,3 weeks ago,0
@Aguslaparbuk-d9q,program mbg memaksakn menguras apbn sertifikasi guru pemotongan  20% bukn memakmurkn rakyat justru memotong pendapatan guru.,3 weeks ago,1
@mukhtarmukhtar9148,Apakah ada hubungan dgn 2 priode  ..,3 weeks ago,0
@syahrildaengmalureng9959,Knp polisi yang urus dan angkat MBG?,3 weeks ago,0
@SUTIKNOSH-yd8vf,MBG cuman tempat Ladang KORUPSI.  Mending buat Pendodikan gratis atu gaji guru Honorer,3 weeks ago,0
@izzatuljannah3081,Dana MBG itu misinya untuk mengembalikan Dana Pemilu  kemarin. Masak gak nyadar ni  Rakyat,3 weeks ago,33
@AbdiTuhan-w5e,Rakyat sengsara akibat program MBG. Rezim semakin parah,3 weeks ago,0
@nugrohoandong8030,Tiap hari jd bahan pembicaraan program mBG hanya utk ladang korupsi,3 weeks ago,0
@JenkaKan,Dah di bulat kan saja menjadi 500 teriliun .buat pendidikan .Janggan pikirkan dana .bisa di cetak .jangan perogram terhambat sama dana .kemajuan Janggan dibuat susah dan ribet mbg hebat,3 weeks ago,0
@90tub3,efisiensi buat jalan² keliling dunia,3 weeks ago,0
@ismadi471,335T cuma jadi tai dikritik dibilang makar kalau dibiarkan bisa2 menghancurkan Negara bikin bangkrut Negara,3 weeks ago,3
@ibutimbul7280,Diberi skor 11/100 gak ada yg percaya...skrg terbukti kan,3 weeks ago,0
@ahmadudin7117,Bubarkan MBG ganti SEKOLAH GRATIS,3 weeks ago,0
@DudungAbdulgani-v8j,Bahas mbg terus kenapa gabajas supaya per kk dapat gaji 20jt,3 weeks ago,0
@sahatjohanes1541,🎉🎉🎉 lbih baik MBG Kop.Merah Putih Bansos dievalusi/dihapus agar APBN terselamatkan utk membiayai roda pemerintahan dan pembangunan infra struktur.!,3 weeks ago,2
@Utang10.000T_bangkrut,"Proyek KKN BGN (badan garong nasional) dibackup mati matian oleh rezim. Anggota DPR, Polri, TNI & Kejaksaan sengaja dilibatkan agar proyek ini tidak ada yang mengendus apalagi mengacak acak. Buktinya 33.000 angka keracunan tak ada satupun pihak yang bertanggung jawab serta diproses hukum*,, *kalau terjadi dijepang misal ada 100 siswa-siswi  keracunan maka minimal seorang Menteri mengundurkan diri, & pemilik dapur sudah diblacklist total. akan tetapi berbeda di konoha, para oknum pejabat saling membackup agar proyek ini jalan terus",11 days ago,2
@karina-y4m1q,"Aneh nya nanyak rakyat yg senang MBG, karena rakyat kecil tidak tahu dari mana uang untuk MBG yg penting dapat makan biar kenyang, terutama masarakat yg ada di pedesaan,",10 days ago,0
@WekaYara,Klo kmu punya solusi laen itu seperti apa?,3 weeks ago,0
@greenvoice-7,Makan gratis uang nya juga dari rakyat2 juga .apa yg gratis,3 weeks ago,0
@rizkyfauzi2786,"Negara ini mmg sudah hancur, gak ada lagi yg bisa rakyat harapkan. Semua yg ingun berkuasa pasti mengincar uang..",3 weeks ago,0
@MagnumFilter-h1j,Proyek Mega korupsi buatan oligarki perusak bangsa,3 weeks ago,0
@MulyadiAda,teruskan mbg manfaatnya nyata anak indonesia   bravo mbg,3 weeks ago,0
@laksonoroy5109,Trm kasih MBG.. untuk memberikan kami alasan kuat untuk TIDAK LAGI memilih  pemimpin yg tidak rasional dan  egois dan tidak dengar kritikan RAKYAT.,3 weeks ago (edited),6
@laodemulyadisyahimabirijal4696,"Wajar saja kalau LSM Celios itu buat pandangan yang sesat tanpa data pendukung realitas... Sebab LSM ini diduga kuat menjadi agen Soros & Kapitalis Barat di Indonesia... Biar rakyat Indonesia benci dgn pemerintah sendiri... 
Jangan mudah percaya dgn rekayasa sesat utk lemahkan Pemerintah RI... Mari kita semua kedepankan nasionalisme Indonesia...",3 weeks ago,0
@only_one255,Program bancakan duit rakyat yg kpk gk bakal berani mendekat😂😂😂😂😂😂,3 weeks ago,0
@akhmadfauzi6800,"BISMILLAH....,Sekarang Rakyat indonesia CUMA MEMEGANG 2 HAL PRINSIP UTAMA DAN SUDAH TERTULIS DI LANGIT YAITU : (1) JAMINAN PRESIDEN PRABOWO AKAN TEGAKNYA ‘’HUKUM YANG BERKEADILAN’’ DAN (2) JANJI DAN SUMPAH PRESIDEN PRABOWO TIDAK AKAN MENYERAHKAN DAN MELIBATKAN NEGARA RI KEPADA PARA MALING, PERAMPOK KORUPTOR (Sumber Telkompren Hambalang 17 Maret 2026)",3 weeks ago,0
@cokropuspito1144,Pecah belah dan jajah-lah,3 weeks ago,0
@kosongsiji-o5m,"prcuma anak kecil banyak yg g mau MBG karena menunya g sesuai ekspektatsi...dan kayaknya g ngaruh pada gizi anak,,tolong d kontrol yg benar masak ada yg dapat cuman nasi,,tahu sama sempol doang khn lawak...",3 weeks ago,0
@lianguanlianguan355,"Prabowo cukup 1 periode , kl MBG msh diteruskan",3 weeks ago,7
@Zanitahiburan,"MBG. Distop salah, gak distop juga salah. Maju kena mundur kena 😅",3 weeks ago,0
@KutuKhan6467,"apalah cuma masalah pencatatan doank, panik 🤷 angka itu belum didecrease perhitungan hasil bumi berlebih yg mengakibatkan deflasi, 🤗🤗🤗 auto seimbang 🤝 pendidikan itu utk meningkatkan konsumsi, ya tinggal pindahin aj angkanya, 


ah bodo, 


bubar aj ekonom satu fakultas 😤😤😤
sesad audzubillah,",3 weeks ago,0
@AminF-x3w,Bila negara dipimpin okeh seorang NPD...negara akan hancur....cuma di konoha,3 weeks ago,0
@kahreemrestu5382,"Mbg itu program pembangunan otak...bagus untuk masa depan,...diperbaiki saja pelaksanaannya biar benar2 mengerjakan ekonomi rakyat....belanja untuk gizi otak itu adalah dasar dari pendidikan itu sendiri...aku setuju aja mbg dibenahi aja itu pelaksanaannya",3 weeks ago,0
@MassBoe-e4z,Dibuang makanan nya,3 weeks ago,0
